Item,Meta,CropCard
BiomesOPlenty:coral1,15,cropsnh:glowingCoral
BiomesOPlenty:flowerVine,0,cropsnh:floweringVine
BiomesOPlenty:flowers,3,cropsnh:glowflower
BiomesOPlenty:flowers,13,cropsnh:eyebulb
BiomesOPlenty:foliage,3,cropsnh:flax
BiomesOPlenty:food,0,cropsnh:bopBerry
BiomesOPlenty:food,2,cropsnh:wildCarrot
BiomesOPlenty:food,11,cropsnh:turnip
BiomesOPlenty:ivy,0,cropsnh:ivy
BiomesOPlenty:moss,0,cropsnh:moss
BiomesOPlenty:mushrooms,3,cropsnh:glowshroom
BiomesOPlenty:saplings,2,cropsnh:bamboo
BiomesOPlenty:treeMoss,0,cropsnh:moss
BiomesOPlenty:turnipSeeds,0,cropsnh:turnip
ExtraTrees:food,37,cropsnh:coffee
ExtraTrees:food,43,cropsnh:blackberry
ExtraTrees:food,44,cropsnh:raspberry
ExtraTrees:food,45,cropsnh:blueberry
ExtraTrees:food,48,cropsnh:maloberry
ExtraTrees:food,55,cropsnh:chilly
Forestry:fruits,3,cropsnh:lemon
IC2:blockRubSapling,0,cropsnh:bonsaiRubber
Natura:Glowshroom,0,cropsnh:greenGlowshroom
Natura:Glowshroom,1,cropsnh:purpleGlowshroom
Natura:Glowshroom,2,cropsnh:blueGlowshroom
Natura:Saguaro,0,cropsnh:saguaroCactus
Natura:Thornvines,0,cropsnh:thornvine
Natura:barley.seed,0,cropsnh:barley
Natura:barley.seed,1,cropsnh:cotton
Natura:barleyFood,3,cropsnh:cotton
Natura:berry,0,cropsnh:raspberry
Natura:berry,1,cropsnh:blueberry
Natura:berry,2,cropsnh:blackberry
Natura:berry,3,cropsnh:maloberry
Natura:berry.nether,0,cropsnh:blightberry
Natura:berry.nether,1,cropsnh:duskberry
Natura:berry.nether,2,cropsnh:skyberry
Natura:berry.nether,3,cropsnh:stingberry
Natura:saguaro.fruit,0,cropsnh:saguaroCactus
TConstruct:oreBerries,0,cropsnh:ironOreBerry
TConstruct:oreBerries,1,cropsnh:goldOreBerry
TConstruct:oreBerries,2,cropsnh:copperOreBerry
TConstruct:oreBerries,3,cropsnh:tinOreBerry
TConstruct:oreBerries,4,cropsnh:aluminiumOreBerry
TConstruct:oreBerries,5,cropsnh:essenceOreBerry
TConstruct:slime.sapling,0,cropsnh:bonsaiSlimy
Thaumcraft:ItemEldritchObject,3,cropsnh:primordialBerry
Thaumcraft:ItemResource,17,cropsnh:voidOreBerry
Thaumcraft:blockCustomPlant,2,cropsnh:shimmerleaf
Thaumcraft:blockCustomPlant,3,cropsnh:cinderpearl
TwilightForest:item.torchberries,0,cropsnh:torchberry
TwilightForest:tile.TFPlant,3,cropsnh:moss
TwistSpaceTechnology:MetaItem01,20,cropsnh:purpleMagnolia
cropsnh:berry,0,cropsnh:huckleberry
cropsnh:berry,1,cropsnh:sugarBeet
cropsnh:gaiaWart,0,cropsnh:gaiaWart
cropsnh:materialLeaf,4,cropsnh:indigo
cropsnh:materialLeaf,6,cropsnh:magicalNightshade
cropsnh:materialLeaf,31,cropsnh:hops
harvestcraft:barleyseedItem,0,cropsnh:barley
