UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
forestry.speciesCommon,寻常,forestry.speciesForest,forestry.speciesMeadows,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesForest,forestry.speciesModest,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesForest,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesForest,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesForest,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesMeadows,forestry.speciesModest,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesMeadows,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesMeadows,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesMeadows,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesModest,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesModest,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesModest,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesTropical,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesTropical,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,寻常,forestry.speciesWintry,forestry.speciesMarshy,false,15.0,
forestry.speciesCultivated,田野,forestry.speciesCommon,forestry.speciesForest,false,12.0,
forestry.speciesCultivated,田野,forestry.speciesCommon,forestry.speciesMeadows,false,12.0,
forestry.speciesCultivated,田野,forestry.speciesCommon,forestry.speciesModest,false,12.0,
forestry.speciesCultivated,田野,forestry.speciesCommon,forestry.speciesTropical,false,12.0,
forestry.speciesCultivated,田野,forestry.speciesCommon,forestry.speciesWintry,false,12.0,
forestry.speciesCultivated,田野,forestry.speciesCommon,forestry.speciesMarshy,false,12.0,
forestry.speciesNoble,高尚,forestry.speciesCommon,forestry.speciesCultivated,false,10.0,
forestry.speciesMajestic,庄严,forestry.speciesNoble,forestry.speciesCultivated,false,8.0,
forestry.speciesImperial,帝皇,forestry.speciesNoble,forestry.speciesMajestic,false,8.0,
forestry.speciesDiligent,勤奋,forestry.speciesCommon,forestry.speciesCultivated,false,10.0,
forestry.speciesUnweary,不倦,forestry.speciesDiligent,forestry.speciesCultivated,false,8.0,
forestry.speciesIndustrious,敬业,forestry.speciesDiligent,forestry.speciesUnweary,false,8.0,
forestry.speciesHeroic,英雄,forestry.speciesSteadfast,forestry.speciesValiant,false,6.0,该突变只可能在forest生物群系中发生。
forestry.speciesSinister,邪恶,forestry.speciesCultivated,forestry.speciesModest,false,60.0,该突变只可能在nether生物群系中发生。
forestry.speciesSinister,邪恶,forestry.speciesCultivated,forestry.speciesTropical,false,60.0,该突变只可能在nether生物群系中发生。
forestry.speciesFiendish,残忍,forestry.speciesSinister,forestry.speciesCultivated,false,40.0,该突变只可能在nether生物群系中发生。
