ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
0,Ocean,0.5,0.5,0.1,-1.0,0.1,OCEAN,biomesoplenty.common.biome.overridden.BiomeGenBOPOcean
1,Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,biomesoplenty.common.biome.overridden.BiomeGenBOPPlains
2,Desert,2.0,0.0,0.1,0.125,0.05,"HOT, DRY, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
3,Extreme Hills,0.2,0.3,0.1,1.0,0.5,"MOUNTAIN, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
4,Forest,0.7,0.8,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPForest
5,Taiga,0.25,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
6,Swampland,0.8,0.9,0.1,-0.2,0.1,"WET, SWAMP",biomesoplenty.common.biome.overridden.BiomeGenBOPSwamp
7,River,0.5,0.5,0.1,-0.5,0.0,RIVER,biomesoplenty.common.biome.overridden.BiomeGenBOPRiver
8,Hell,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, NETHER",biomesoplenty.common.biome.overridden.BiomeGenBOPHell
9,Sky,0.5,0.5,0.1,0.1,0.2,"COLD, DRY, END",chylex.hee.world.biome.BiomeGenHardcoreEnd
10,FrozenOcean,0.0,0.5,0.1,-1.0,0.1,"COLD, OCEAN, SNOWY",net.minecraft.world.biome.BiomeGenOcean
11,FrozenRiver,0.0,0.5,0.1,-0.5,0.0,"COLD, RIVER, SNOWY",net.minecraft.world.biome.BiomeGenRiver
12,Ice Plains,0.0,0.5,0.1,0.125,0.05,"COLD, SNOWY, WASTELAND",biomesoplenty.common.biome.overridden.BiomeGenBOPIcePlains
13,Ice Mountains,0.0,0.5,0.1,0.45,0.3,"COLD, MOUNTAIN, SNOWY",net.minecraft.world.biome.BiomeGenSnow
14,MushroomIsland,0.9,1.0,0.1,0.2,0.3,MUSHROOM,biomesoplenty.common.biome.overridden.BiomeGenBOPMushroomIsland
15,MushroomIslandShore,0.9,1.0,0.1,0.0,0.025,"MUSHROOM, BEACH",biomesoplenty.common.biome.overridden.BiomeGenBOPMushroomIsland
16,Beach,0.8,0.4,0.1,0.0,0.025,BEACH,net.minecraft.world.biome.BiomeGenBeach
17,DesertHills,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
18,ForestHills,0.7,0.8,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPForest
19,TaigaHills,0.25,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
20,Extreme Hills Edge,0.2,0.3,0.1,0.8,0.3,MOUNTAIN,biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
21,Jungle,0.95,0.9,0.1,0.1,0.2,"HOT, DENSE, WET, JUNGLE",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
22,JungleHills,0.95,0.9,0.1,0.45,0.3,"HOT, DENSE, WET, JUNGLE, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
23,JungleEdge,0.95,0.8,0.1,0.1,0.2,"HOT, WET, JUNGLE, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
24,Deep Ocean,0.5,0.5,0.1,-1.8,0.1,OCEAN,net.minecraft.world.biome.BiomeGenOcean
25,Stone Beach,0.2,0.3,0.1,0.1,0.8,BEACH,net.minecraft.world.biome.BiomeGenStoneBeach
26,Cold Beach,0.05,0.3,0.1,0.0,0.025,"COLD, SNOWY, BEACH",net.minecraft.world.biome.BiomeGenBeach
27,Birch Forest,0.6,0.6,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
28,Birch Forest Hills,0.6,0.6,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
29,Roofed Forest,0.7,0.8,0.1,0.1,0.2,"DENSE, SPOOKY, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPRoofedForest
30,Cold Taiga,-0.5,0.4,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
31,Cold Taiga Hills,-0.5,0.4,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
32,Mega Taiga,0.3,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",net.minecraft.world.biome.BiomeGenTaiga
33,Mega Taiga Hills,0.3,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",net.minecraft.world.biome.BiomeGenTaiga
34,Extreme Hills+,0.2,0.3,0.1,1.0,0.5,"SPARSE, FOREST, MOUNTAIN",net.minecraft.world.biome.BiomeGenHills
35,Savanna,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
36,Savanna Plateau,1.0,0.0,0.1,1.5,0.025,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
37,Mesa,2.0,0.0,0.1,0.1,0.2,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
38,Mesa Plateau F,2.0,0.0,0.1,1.5,0.025,"SPARSE, MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
39,Mesa Plateau,2.0,0.0,0.1,1.5,0.025,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
40,Alps Forest,0.0,0.5,0.1,0.6,0.8,"COLD, FOREST, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenAlpsForest
41,Alps,0.0,0.5,0.1,8.0,0.025,"COLD, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenAlps
42,Arctic,0.05,0.5,0.1,0.0,0.0,"COLD, DEAD, SNOWY, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenArctic
43,Bamboo Forest,1.2,0.9,0.1,0.1,0.3,"DENSE, JUNGLE, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBambooForest
44,Bayou,0.8,0.9,0.1,-0.1,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBayou
45,Bog,0.5,0.9,0.1,0.1,0.2,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBog
46,null,null,null,null
47,Boreal Forest,0.5,0.6,0.1,0.2,0.4,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBorealForest
48,Brushland,1.2,0.1,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenBrushland
49,Canyon,1.0,0.3,0.1,5.0,0.025,"HOT, SPARSE, DRY, MOUNTAIN, HILLS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenCanyon
50,Canyon Ravine,1.0,0.3,0.1,-0.1,0.4,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenCanyonRavine
51,Chaparral,0.8,0.6,0.1,0.2,0.3,"SPARSE, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenChaparral
52,Cherry Blossom Grove,0.6,0.8,0.1,0.1,0.2,"LUSH, MAGICAL, FOREST",biomesoplenty.common.biome.overworld.BiomeGenCherryBlossomGrove
53,Coniferous Forest,0.5,0.5,0.1,0.1,0.3,"DENSE, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenConiferousForest
54,Coral Reef,0.5,0.9,0.1,-0.6,0.1,"OCEAN, RIVER",biomesoplenty.common.biome.overworld.ocean.BiomeGenCoralReef
55,null,null,null,null
56,Crag,1.0,0.0,0.1,2.0,3.0,"DRY, SPOOKY, DEAD, MOUNTAIN, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenCrag
57,Dead Forest,0.4,0.3,0.1,0.1,0.3,"SPARSE, SPOOKY, DEAD, FOREST",biomesoplenty.common.biome.overworld.BiomeGenDeadForest
58,Dead Swamp,0.7,0.9,0.1,0.0,0.1,"SPARSE, SPOOKY, DEAD, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenDeadSwamp
59,Deciduous Forest,0.6,0.8,0.1,0.1,0.2,"DENSE, DRY, FOREST",biomesoplenty.common.biome.overworld.BiomeGenDeciduousForest
60,Dry River,1.0,0.0,0.1,-0.2,0.0,"HOT, DRY, PLAINS, SANDY",biomesoplenty.common.biome.overworld.tech.BiomeGenDryRiver
61,Eucalyptus Forest,0.9,1.0,0.1,0.0,0.2,"HOT, WET, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenEucalyptusForest
62,Fen,0.4,0.4,0.1,0.1,0.1,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenFen
63,Flower Field,0.6,0.7,0.1,0.125,0.05,"LUSH, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenFlowerField
64,Frost Forest,0.0,0.5,0.1,0.1,0.2,"COLD, SPARSE, FOREST, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenFrostForest
65,Fungi Forest,0.9,1.0,0.1,0.1,0.2,"WET, LUSH, MUSHROOM, MAGICAL, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenFungiForest
66,Garden,0.7,0.8,0.1,0.1,0.1,"LUSH, MAGICAL, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenGarden
67,Glacier,0.0,0.2,0.1,1.5,0.025,"COLD, DEAD, HILLS, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenGlacier
68,Grassland,0.6,0.7,0.1,0.1,0.2,"SPARSE, LUSH, PLAINS, HILLS, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenGrassland
69,Grove,0.7,0.8,0.1,0.1,0.2,"DENSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenGrove
70,Heathland,0.8,0.2,0.1,0.1,0.2,"DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenHeathland
71,Highland,0.5,0.8,0.1,2.5,0.5,"SPARSE, MOUNTAIN, HILLS",biomesoplenty.common.biome.overworld.BiomeGenHighland
72,Jade Cliffs,0.8,0.9,0.1,0.5,1.0,"DENSE, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenJadeCliffs
73,Kelp Forest,0.5,0.9,0.1,-1.2,0.1,"OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.ocean.BiomeGenKelpForest
74,Land of Lakes,0.5,0.9,0.1,0.1,0.2,"WET, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenLandOfLakes
75,Land of Lakes Marsh,0.5,0.9,0.1,-0.1,0.05,"WET, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenLandOfLakesMarsh
76,Lavender Fields,0.6,0.7,0.1,0.125,0.05,"SPARSE, LUSH, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenLavenderFields
77,Lush Desert,1.1,0.5,0.1,0.2,0.5,"HOT, DRY, SAVANNA, LUSH, SANDY",biomesoplenty.common.biome.overworld.BiomeGenLushDesert
78,Lush River,0.7,0.8,0.1,-0.5,0.0,"RIVER, PLAINS",biomesoplenty.common.biome.overworld.tech.BiomeGenLushRiver
79,Lush Swamp,0.7,1.0,0.1,0.0,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenLushSwamp
80,Mangrove,0.8,0.9,0.1,0.0,0.2,"WET, LUSH, OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenMangrove
81,Maple Woods,0.2,0.8,0.1,0.1,0.3,"COLD, FOREST",biomesoplenty.common.biome.overworld.BiomeGenMapleWoods
82,Marsh,0.5,0.9,0.1,0.1,0.05,"SPARSE, WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenMarsh
83,Meadow Forest,0.7,0.7,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.sub.BiomeGenMeadowForest
84,Meadow,0.7,0.7,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenMeadow
85,Moor,0.5,1.0,0.1,1.5,0.025,"SPARSE, WET, HILLS, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenMoor
86,Mountain,0.5,0.1,0.1,2.5,0.5,"DRY, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenMountain
87,Mystic Grove,0.7,1.0,0.1,0.1,0.2,"WET, LUSH, MAGICAL, FOREST",biomesoplenty.common.biome.overworld.BiomeGenMysticGrove
88,Oasis,2.0,0.3,0.1,-0.2,0.0,"HOT, DRY, JUNGLE, LUSH, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenOasis
89,Ominous Woods,0.5,0.9,0.1,0.1,0.2,"SPOOKY, DEAD, MAGICAL, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenOminousWoods
90,Orchard,0.7,0.7,0.1,0.1,0.1,"SPARSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenOrchard
91,Origin Valley,0.7,0.8,0.1,0.1,0.3,PLAINS,biomesoplenty.common.biome.overworld.BiomeGenOriginValley
92,Outback,1.3,0.05,0.1,0.1,0.1,"HOT, DRY, SAVANNA, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenOutback
93,null,null,null,null
94,Polar Chasm,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.nether.BiomeGenPolarChasm
95,Prairie,0.8,0.3,0.1,0.1,0.1,"SPARSE, DRY, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenPrairie
96,Quagmire,0.8,0.9,0.1,0.0,0.1,"WET, SPOOKY, DEAD, SWAMP, WASTELAND",biomesoplenty.common.biome.overworld.sub.BiomeGenQuagmire
97,Rainforest,1.0,1.0,0.1,0.2,0.9,"DENSE, WET, JUNGLE, LUSH, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenRainforest
98,Redwood Forest,0.7,0.7,0.1,0.1,0.05,"DENSE, CONIFEROUS, FOREST",biomesoplenty.common.biome.overworld.BiomeGenRedwoodForest
99,Sacred Springs,0.5,0.5,0.1,0.0,0.6,"DENSE, WET, LUSH, MAGICAL, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenSacredSprings
100,Scrubland,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.sub.BiomeGenScrubland
101,Seasonal Forest Clearing,0.5,0.8,0.1,0.1,0.2,PLAINS,biomesoplenty.common.biome.overworld.sub.BiomeGenSeasonalForestClearing
102,Seasonal Forest,0.5,0.8,0.1,0.2,0.4,"DENSE, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenSeasonalForest
103,Shield,0.5,0.8,0.1,0.0,0.2,"WET, CONIFEROUS, OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.BiomeGenShield
104,Shrubland,0.6,0.05,0.1,0.1,0.1,"SPARSE, DRY, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenShrubland
105,Silkglades,0.5,0.9,0.1,0.1,0.2,"SPOOKY, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenSilkglades
106,Sludgepit,0.8,0.9,0.1,0.0,0.1,"WET, SPOOKY, DEAD, FOREST, SWAMP, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenSludgepit
107,Snowy Coniferous Forest,0.0,0.5,0.1,0.1,0.3,"COLD, DENSE, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenConiferousForestSnow
108,Spectral Garden,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.end.BiomeGenSpectralGarden
109,Spruce Woods,0.7,0.8,0.1,0.1,0.2,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenSpruceWoods
110,Steppe,0.7,0.05,0.1,0.1,0.4,"HOT, SPARSE, DRY, SAVANNA, DEAD, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenSteppe
