Name,ID,Has Item,Mod,Class,Display Name
minecraft:air,0,false,null,net.minecraft.block.BlockAir,null
minecraft:stone,1,true,minecraft,net.minecraft.block.BlockStone,石头
minecraft:grass,2,true,minecraft,net.minecraft.block.BlockGrass,草方块
minecraft:dirt,3,true,minecraft,net.minecraft.block.BlockDirt,泥土
minecraft:cobblestone,4,true,minecraft,net.minecraft.block.Block,圆石
minecraft:planks,5,true,minecraft,net.minecraft.block.BlockWood,橡木木板
minecraft:sapling,6,true,minecraft,net.minecraft.block.BlockSapling,橡树树苗
minecraft:bedrock,7,true,minecraft,net.minecraft.block.Block,基岩
minecraft:flowing_water,8,true,minecraft,cofh.asmhooks.block.BlockTickingWater,水
minecraft:water,9,true,minecraft,cofh.asmhooks.block.BlockWater,水
minecraft:flowing_lava,10,true,minecraft,net.minecraft.block.BlockDynamicLiquid,岩浆
minecraft:lava,11,true,minecraft,net.minecraft.block.BlockStaticLiquid,岩浆
minecraft:sand,12,true,minecraft,net.minecraft.block.BlockSand,沙子
minecraft:gravel,13,true,minecraft,net.minecraft.block.BlockGravel,沙砾
minecraft:gold_ore,14,true,minecraft,net.minecraft.block.BlockOre,金矿石
minecraft:iron_ore,15,true,minecraft,net.minecraft.block.BlockOre,铁矿石
minecraft:coal_ore,16,true,minecraft,net.minecraft.block.BlockOre,煤矿石
minecraft:log,17,true,minecraft,net.minecraft.block.BlockOldLog,橡木原木
minecraft:leaves,18,true,minecraft,net.minecraft.block.BlockOldLeaf,橡树树叶
minecraft:sponge,19,true,minecraft,net.minecraft.block.BlockSponge,惰性海绵
minecraft:glass,20,true,minecraft,net.minecraft.block.BlockGlass,玻璃
minecraft:lapis_ore,21,true,minecraft,net.minecraft.block.BlockOre,青金石矿石
minecraft:lapis_block,22,true,minecraft,net.minecraft.block.BlockCompressed,青金石块
minecraft:dispenser,23,true,minecraft,net.minecraft.block.BlockDispenser,发射器
minecraft:sandstone,24,true,minecraft,net.minecraft.block.BlockSandStone,沙石
minecraft:noteblock,25,true,minecraft,net.minecraft.block.BlockNote,音符盒
minecraft:bed,26,false,null,net.minecraft.block.BlockBed,null
minecraft:golden_rail,27,true,minecraft,net.minecraft.block.BlockRailPowered,推进轨道
minecraft:detector_rail,28,true,minecraft,net.minecraft.block.BlockRailDetector,感应轨道
minecraft:sticky_piston,29,true,minecraft,net.minecraft.block.BlockPistonBase,黏性活塞
minecraft:web,30,true,minecraft,net.minecraft.block.BlockWeb,蜘蛛网
minecraft:tallgrass,31,true,minecraft,net.minecraft.block.BlockTallGrass,灌木
minecraft:deadbush,32,true,minecraft,net.minecraft.block.BlockDeadBush,枯萎的灌木
minecraft:piston,33,true,minecraft,net.minecraft.block.BlockPistonBase,活塞
minecraft:piston_head,34,false,null,net.minecraft.block.BlockPistonExtension,null
minecraft:wool,35,true,minecraft,net.minecraft.block.BlockColored,羊毛
minecraft:piston_extension,36,false,null,net.minecraft.block.BlockPistonMoving,null
minecraft:yellow_flower,37,true,minecraft,net.minecraft.block.BlockFlower,蒲公英
minecraft:red_flower,38,true,minecraft,net.minecraft.block.BlockFlower,虞美人
minecraft:brown_mushroom,39,true,minecraft,net.minecraft.block.BlockMushroom,蘑菇
minecraft:red_mushroom,40,true,minecraft,net.minecraft.block.BlockMushroom,蘑菇
minecraft:gold_block,41,true,minecraft,net.minecraft.block.BlockCompressed,金块
minecraft:iron_block,42,true,minecraft,net.minecraft.block.BlockCompressed,铁块
minecraft:double_stone_slab,43,true,minecraft,net.minecraft.block.BlockStoneSlab,平滑石台阶
minecraft:stone_slab,44,true,minecraft,net.minecraft.block.BlockStoneSlab,平滑石台阶
minecraft:brick_block,45,true,minecraft,net.minecraft.block.Block,砖块
minecraft:tnt,46,true,minecraft,net.minecraft.block.BlockTNT,TNT
minecraft:bookshelf,47,true,minecraft,net.minecraft.block.BlockBookshelf,书架
minecraft:mossy_cobblestone,48,true,minecraft,mrtjp.projectred.exploration.BlockMossyCobblestone,苔石
minecraft:obsidian,49,true,minecraft,net.minecraft.block.BlockObsidian,黑曜石
minecraft:torch,50,true,minecraft,net.minecraft.block.BlockTorch,火把
minecraft:fire,51,true,minecraft,net.minecraft.block.BlockFire,火
minecraft:mob_spawner,52,true,minecraft,net.minecraft.block.BlockMobSpawner,刷怪笼
minecraft:oak_stairs,53,true,minecraft,net.minecraft.block.BlockStairs,橡木楼梯
minecraft:chest,54,true,minecraft,net.minecraft.block.BlockChest,箱子
minecraft:redstone_wire,55,false,null,net.minecraft.block.BlockRedstoneWire,null
minecraft:diamond_ore,56,true,minecraft,net.minecraft.block.BlockOre,钻石矿石
minecraft:diamond_block,57,true,minecraft,net.minecraft.block.BlockCompressed,钻石块
minecraft:crafting_table,58,true,minecraft,net.minecraft.block.BlockWorkbench,工作台
minecraft:wheat,59,false,null,net.minecraft.block.BlockCrops,null
minecraft:farmland,60,true,minecraft,net.minecraft.block.BlockFarmland,耕地
minecraft:furnace,61,true,minecraft,net.minecraft.block.BlockFurnace,熔炉
minecraft:lit_furnace,62,true,minecraft,net.minecraft.block.BlockFurnace,熔炉
minecraft:standing_sign,63,false,null,net.minecraft.block.BlockSign,null
minecraft:wooden_door,64,false,null,net.malisis.doors.door.block.Door,null
