ID,Name,Unlocalised Name,Flavour Text,Unlocalized Flavour Text,Creator,Color 1,Color 2,Seed Shape,Render Shape,Soil Type,Tier,Min Seed Bed Tier,Liked Biomes,Growth Duration,Breeding Threshold,Crossing Threshold,Starts Spreading Weeds If Growth Above,Growth Requirements,Drop Count Multiplier,Drop Table,Alternate Seeds
cropsnh:allium,绒球葱,tile.flower2.allium.name,,,Notch,0xFF6B2166,0xFFDB7AD5,flower,Hash,dirt,2,-1,"SANDY, SPARSE, DRY",600,0.8,0.8,24,,0.9025,1 x 品红色染料 @ 100.0%,绒球葱
cropsnh:aluminiumOreBerry,铝矿莓,cropsnh_crops.aluminiumOreBerry,,,bartimaeusnek,0xFF5687A3,0xFF80C8F0,oreberry,Hash,stone,5,-1,"COLD, DRY",6000,0.8,0.8,24,需要在其下方放置铝块才能生长 | 需要亮度等级为 10 以下,0.77378094,6 x 铝矿莓 @ 100.0%,铝矿莓
cropsnh:andesiteLily,安山莲,cropsnh_crops.andesiteLily,,,bartimaeusnek,0xFF6B6B6A,0xFF989896,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置安山岩才能生长,0.95,1 x 安山岩 @ 100.0%,
cropsnh:arditeOreBerry,阿迪特矿莓,cropsnh_crops.arditeOreBerry,,,bartimaeusnek,0xFFAD5A00,0xFFFA8100,oreberry,Hash,stone,5,-1,"HOT, NETHER",6000,0.8,0.8,24,需要在其下方放置阿迪特才能生长 | 需要亮度等级为 10 以下,0.77378094,1 x 阿迪特粒 @ 100.0%,
cropsnh:argentia,银叶草,cropsnh_crops.argentia,,,Eloraam,0xFFB2BEC9,0xFFFDFEFE,vanilla,Hash,stone,7,-1,"HOT, MOUNTAIN",1400,0.8,0.8,24,需要在其下方放置银块才能生长,0.6983373,1 x 银叶 @ 100.0%,
cropsnh:auronia,金叶草,cropsnh_crops.auronia,,,CropsNH Team,0xFFABA600,0xFFEFE913,vanilla,Hash,stone,8,-1,"MESA, SANDY",3700,0.8,0.8,24,需要在其下方放置金块才能生长,0.66342044,1 x 金叶 @ 100.0%,
cropsnh:azureBluet,茜草花,tile.flower2.houstonia.name,,,Notch,0xFF3D3D4C,0xFFE4EAF2,flower,Hash,dirt,2,-1,"LUSH, HILLS, FOREST",600,0.8,0.8,24,,0.9025,1 x 淡灰色染料 @ 100.0%,茜草花
cropsnh:bamboo,竹笋,cropsnh_crops.bamboo,,,Minepolz320,0xFF83A81A,0xFFC7DB72,bonsai,Hash,dirt,2,-1,"LUSH, DENSE, JUNGLE, FOREST",250,0.8,0.8,24,,0.9025,2 x 竹子 @ 100.0%,竹笋
cropsnh:barley,大麦,cropsnh_crops.barley,,,bartimaeusnek,0xFF285221,0xFF84C63D,vanilla,Hash,farmland,2,-1,"PLAINS, DRY",675,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 大麦 @ 100.0%,大麦种子 | 大麦种子
cropsnh:basaltLily,玄武莲,cropsnh_crops.basaltLily,,,bartimaeusnek,0xFF080808,0xFF181818,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置玄武岩才能生长,0.95,9 x 玄武岩粉 @ 100.0%,
cropsnh:bauxia,铝土草,cropsnh_crops.bauxia,,,CropsNH Team,0xFF460D00,0xFFC88E76,vanilla,Hash,stone,6,-1,"COLD, DRY",1200,0.8,0.8,24,需要在其下方放置铝块或铝土矿才能生长,0.73509187,1 x 铝土叶 @ 100.0%,
cropsnh:belladonna,颠茄,tile.witchery:belladonna.name,,,bartimaeusnek,0xFF000000,0xFF947999,magic,Hash,farmland,4,-1,"SPOOKY, WET",1100,0.8,0.8,24,,0.81450623,1 x 颠茄花 @ 100.0%,颠茄种子
cropsnh:blackGraniteLily,黑花岗莲,cropsnh_crops.blackGraniteLily,,,bartimaeusnek,0xFF000000,0xFF0A0A0A,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置黑花岗岩才能生长,0.95,9 x 黑花岗岩粉 @ 100.0%,
cropsnh:blackberry,黑莓,cropsnh_crops.blackberry,,,bartimaeusnek,0xFF141C22,0xFF4D5A66,vanilla,Hash,farmland,2,-1,"LUSH, DENSE, WET",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,3 x 黑莓 @ 100.0%,黑莓 | 黑莓 | 黑莓 | 黑莓种子
cropsnh:blazereed,烈焰甘蔗,cropsnh_crops.blazereed,,,Mr. Brain,0xFFB38C00,0xFFFFC800,grains,X,netherrack,6,-1,"HOT, NETHER",3600,0.8,0.8,24,,0.73509187,1 x 烈焰棒 @ 25.0% | 1 x 烈焰粉 @ 75.0%,
cropsnh:blightberry,枯萎莓,cropsnh_crops.blightberry,,,bartimaeusnek,0xFF3BC956,0xFFA3F2A0,vanilla,Hash,netherrack,4,-1,"DRY, NETHER",300,0.8,0.8,24,,0.81450623,2 x 枯萎莓 @ 100.0%,枯萎莓
cropsnh:blueGlowshroom,蓝色荧光菇,cropsnh_crops.blueGlowshroom,,,bartimaeusnek,0xFF2A3DC8,0xFF4759E1,spore,Hash,stone+dirt+mycelium+netherrack,3,-1,"MAGICAL, MUSHROOM, NETHER",600,0.8,0.8,24,,0.857375,1 x 蓝色荧光菇 @ 100.0%,蓝色荧光菇
cropsnh:blueOrchid,兰花,tile.flower2.blueOrchid.name,,,Notch,0xFF2F5488,0xFF8FB9F4,flower,X,dirt,2,-1,"SWAMP, WET",600,0.8,0.8,24,,0.9025,1 x 淡蓝色染料 @ 100.0%,兰花
cropsnh:blueberry,蓝莓,cropsnh_crops.blueberry,,,bartimaeusnek,0xFF354085,0xFF5262B5,vanilla,Hash,farmland,2,-1,"LUSH, HILLS, FOREST",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,3 x 蓝莓 @ 100.0%,蓝莓 | 蓝莓 | 蓝莓 | 蓝莓种子
cropsnh:bobsYerUncleRanks,鸿运浆果丛,cropsnh_crops.bobsYerUncleRanks,,,GenerikB,0xFF009529,0xFF41F384,vanilla,Hash,stone,6,-1,"MOUNTAIN, HILLS",3000,0.8,0.8,24,需要在其下方放置绿宝石块才能生长,0.73509187,1 x 绿宝石 @ 25.0% | 1 x 鸿运浆果 @ 75.0%,
cropsnh:bonsaiAcacia,盆栽金合欢,cropsnh_crops.bonsaiAcacia,,,Notch,0xFF795A0D,0xFF71881B,bonsai,X,dirt,1,-1,"SAVANNA, HOT, PLAINS, SPARSE",1200,0.8,0.8,24,,0.95,1 x 金合欢树苗 @ 30.0% | 10 x 金合欢原木 @ 60.0%,金合欢树苗
