ID,Provider ID,Provider Class Name
-1,-1,biomesoplenty.common.world.WorldProviderBOPHell
0,0,biomesoplenty.common.world.WorldProviderSurfaceBOP
1,1,chylex.hee.world.WorldProviderHardcoreEnd
2,2,lumien.randomthings.Handler.Spectre.WorldProviderSpectre
7,-777,twilightforest.world.WorldProviderTwilightForest
25,25,galaxyspace.SolarSystem.planets.makemake.dimension.WorldProviderMakemake
28,28,micdoodle8.mods.galacticraft.core.dimension.WorldProviderMoon
29,29,micdoodle8.mods.galacticraft.planets.mars.dimension.WorldProviderMars
30,30,micdoodle8.mods.galacticraft.planets.asteroids.dimension.WorldProviderAsteroids
31,31,galaxyspace.ACentauriSystem.planets.aCentauriBb.dimension.WorldProviderACentauri
32,32,galaxyspace.BarnardsSystem.planets.barnardaC.dimension.WorldProviderBarnardaC
33,33,galaxyspace.SolarSystem.planets.kuiperbelt.dimension.WorldProviderKuiper
35,35,galaxyspace.SolarSystem.moons.europa.dimension.WorldProviderEuropa
36,36,galaxyspace.SolarSystem.moons.io.dimension.WorldProviderIo
37,37,galaxyspace.SolarSystem.planets.mercury.dimension.WorldProviderMercury
38,38,galaxyspace.SolarSystem.moons.phobos.dimension.WorldProviderPhobos
39,39,galaxyspace.SolarSystem.planets.venus.dimension.WorldProviderVenus
40,40,galaxyspace.SolarSystem.moons.deimos.dimension.WorldProviderDeimos
41,41,galaxyspace.SolarSystem.moons.enceladus.dimension.WorldProviderEnceladus
42,42,galaxyspace.SolarSystem.planets.ceres.dimension.WorldProviderCeres
43,43,galaxyspace.SolarSystem.moons.ganymede.dimension.WorldProviderGanymede
44,44,galaxyspace.SolarSystem.moons.titan.dimension.WorldProviderTitan
45,45,galaxyspace.SolarSystem.moons.callisto.dimension.WorldProviderCallisto
46,46,galaxyspace.SolarSystem.moons.oberon.dimension.WorldProviderOberon
47,47,galaxyspace.SolarSystem.moons.proteus.dimension.WorldProviderProteus
48,48,galaxyspace.SolarSystem.moons.triton.dimension.WorldProviderTriton
49,49,galaxyspace.SolarSystem.planets.pluto.dimension.WorldProviderPluto
50,50,thaumcraft.common.lib.world.dim.WorldProviderOuter
51,51,galaxyspace.SolarSystem.planets.uranus.dimension.WorldProviderUranus
55,55,com.emoniph.witchery.dimension.WorldProviderDreamWorld
56,56,com.emoniph.witchery.dimension.WorldProviderTorment
60,60,thaumic.tinkerer.common.dim.WorldProviderBedrock
63,63,bwcrossmod.galacticraft.planets.ross128ba.WorldProviderRoss128ba
64,64,bwcrossmod.galacticraft.planets.ross128b.WorldProviderRoss128b
69,69,com.kentington.thaumichorizons.common.lib.WorldProviderPocketPlane
70,70,com.emoniph.witchery.dimension.WorldProviderMirror
71,71,galaxyspace.SolarSystem.planets.jupiter.dimension.WorldProviderJupiter
74,74,galaxyspace.SolarSystem.planets.neptune.dimension.WorldProviderNeptune
77,77,galaxyspace.SolarSystem.planets.saturn.dimension.WorldProviderSaturn
81,81,galaxyspace.BarnardsSystem.planets.barnardaE.dimension.WorldProviderBarnardaE
82,82,galaxyspace.BarnardsSystem.planets.barnardaF.dimension.WorldProviderBarnardaF
83,83,galaxyspace.SolarSystem.planets.haumea.dimension.WorldProviderHaumea
84,84,galaxyspace.VegaSystem.planets.vegaB.dimension.WorldProviderVegaB
85,85,galaxyspace.TCetiSystem.planets.tcetiE.dimension.WorldProviderTCetiE
86,86,galaxyspace.SolarSystem.moons.miranda.dimension.WorldProviderMiranda
90,90,de.katzenpapst.amunra.world.neper.NeperWorldProvider
91,91,de.katzenpapst.amunra.world.maahes.MaahesWorldProvider
92,92,de.katzenpapst.amunra.world.anubis.AnubisWorldProvider
93,93,de.katzenpapst.amunra.world.horus.HorusWorldProvider
94,94,de.katzenpapst.amunra.world.seth.SethWorldProvider
95,95,de.katzenpapst.amunra.world.mehen.MehenWorldProvider
100,100,com.rwtema.extrautils.worldgen.Underdark.WorldProviderUnderdark
112,112,com.rwtema.extrautils.worldgen.endoftime.WorldProviderEndOfTime
173,173,makeo.gadomancy.common.utils.world.WorldProviderTCEldrich
180,180,me.eigenraven.personalspace.world.PersonalWorldProvider
227,227,toxiceverglades.world.WorldProviderMod
12321,12321,com.newmaa.othtech.common.dimensions.antimonia.WorldProviderAntimonia
12322,12322,com.newmaa.othtech.common.dimensions.ross123b.WorldProviderRoss123b
