Mod,ID,Name,Class Name
(global),1,Item,net.minecraft.entity.item.EntityItem
(global),2,XPOrb,net.minecraft.entity.item.EntityXPOrb
(global),3,soundEntity,crazypants.enderio.item.darksteel.SoundEntity
(global),4,rangeEntity,crazypants.enderio.machine.ranged.RangeEntity
(global),5,enderzoo.Enderminy,crazypants.enderzoo.entity.EntityEnderminy
(global),6,enderzoo.ConcussionCreeper,crazypants.enderzoo.entity.EntityConcussionCreeper
(global),7,enderzoo.FallenKnight,crazypants.enderzoo.entity.EntityFallenKnight
(global),8,LeashKnot,net.minecraft.entity.EntityLeashKnot
(global),9,Painting,net.minecraft.entity.item.EntityPainting
(global),10,Arrow,net.minecraft.entity.projectile.EntityArrow
(global),11,Snowball,net.minecraft.entity.projectile.EntitySnowball
(global),12,Fireball,net.minecraft.entity.projectile.EntityLargeFireball
(global),13,SmallFireball,net.minecraft.entity.projectile.EntitySmallFireball
(global),14,ThrownEnderpearl,net.minecraft.entity.item.EntityEnderPearl
(global),15,EyeOfEnderSignal,net.minecraft.entity.item.EntityEnderEye
(global),16,ThrownPotion,net.minecraft.entity.projectile.EntityPotion
(global),17,ThrownExpBottle,net.minecraft.entity.item.EntityExpBottle
(global),18,ItemFrame,net.minecraft.entity.item.EntityItemFrame
(global),19,WitherSkull,net.minecraft.entity.projectile.EntityWitherSkull
(global),20,PrimedTnt,net.minecraft.entity.item.EntityTNTPrimed
(global),21,FallingSand,net.minecraft.entity.item.EntityFallingBlock
(global),22,FireworksRocketEntity,net.minecraft.entity.item.EntityFireworkRocket
(global),23,enderzoo.FallenMount,crazypants.enderzoo.entity.EntityFallenMount
(global),24,enderzoo.WitherWitch,crazypants.enderzoo.entity.EntityWitherWitch
(global),25,enderzoo.WitherCat,crazypants.enderzoo.entity.EntityWitherCat
(global),26,enderzoo.DireWolf,crazypants.enderzoo.entity.EntityDireWolf
(global),27,enderzoo.DireSlime,crazypants.enderzoo.entity.EntityDireSlime
(global),28,EntityPrimedCharge,crazypants.enderzoo.charge.EntityPrimedCharge
(global),29,porcodon,de.katzenpapst.amunra.mob.entity.EntityPorcodon
(global),30,alienVillagerAR,de.katzenpapst.amunra.mob.entity.EntityARVillager
(global),31,robotVillager,de.katzenpapst.amunra.mob.entity.EntityRobotVillager
(global),32,sentryRobot,de.katzenpapst.amunra.mob.entity.EntitySentry
(global),33,alienBug,de.katzenpapst.amunra.mob.entity.EntityAlienBug
(global),34,osirisBoss,de.katzenpapst.amunra.mob.entity.EntityMummyBoss
(global),35,bloodTNT,com.arc.bloodarsenal.common.entity.EntityBloodTNT
(global),36,EntityPermItem,makeo.gadomancy.common.entities.EntityPermNoClipItem
(global),37,EntityAuraCore,makeo.gadomancy.common.entities.EntityAuraCore
(global),38,FakePlayerEntity,makeo.gadomancy.common.entities.player.FakePlayerEntity
(global),39,EntityItemElement,makeo.gadomancy.common.entities.EntityItemElement
(global),40,MinecartCommandBlock,mods.railcraft.common.carts.EntityCartCommand
(global),41,Boat,net.minecraft.entity.item.EntityBoat
(global),42,MinecartRideable,mods.railcraft.common.carts.EntityCartBasic
(global),43,MinecartChest,mods.railcraft.common.carts.EntityCartChest
(global),44,MinecartFurnace,mods.railcraft.common.carts.EntityCartFurnace
(global),45,MinecartTNT,mods.railcraft.common.carts.EntityCartTNT
(global),46,MinecartHopper,net.minecraft.entity.item.EntityMinecartHopper
(global),47,MinecartSpawner,net.minecraft.entity.ai.EntityMinecartMobSpawner
(global),48,Mob,net.minecraft.entity.EntityLiving
(global),49,Monster,net.minecraft.entity.monster.EntityMob
(global),50,Creeper,net.minecraft.entity.monster.EntityCreeper
(global),51,Skeleton,net.minecraft.entity.monster.EntitySkeleton
(global),52,Spider,net.minecraft.entity.monster.EntitySpider
(global),53,Giant,net.minecraft.entity.monster.EntityGiantZombie
(global),54,Zombie,net.minecraft.entity.monster.EntityZombie
(global),55,Slime,net.minecraft.entity.monster.EntitySlime
(global),56,Ghast,net.minecraft.entity.monster.EntityGhast
(global),57,PigZombie,net.minecraft.entity.monster.EntityPigZombie
(global),58,Enderman,chylex.hee.entity.mob.EntityMobEnderman
(global),59,CaveSpider,net.minecraft.entity.monster.EntityCaveSpider
(global),60,Silverfish,net.minecraft.entity.monster.EntitySilverfish
(global),61,Blaze,net.minecraft.entity.monster.EntityBlaze
(global),62,LavaSlime,net.minecraft.entity.monster.EntityMagmaCube
(global),63,EnderDragon,net.minecraft.entity.boss.EntityDragon
(global),64,WitherBoss,net.minecraft.entity.boss.EntityWither
(global),65,Bat,net.minecraft.entity.passive.EntityBat
(global),66,Witch,net.minecraft.entity.monster.EntityWitch
(global),90,Pig,net.minecraft.entity.passive.EntityPig
(global),91,Sheep,net.minecraft.entity.passive.EntitySheep
(global),92,Cow,net.minecraft.entity.passive.EntityCow
(global),93,Chicken,net.minecraft.entity.passive.EntityChicken
(global),94,Squid,net.minecraft.entity.passive.EntitySquid
(global),95,Wolf,net.minecraft.entity.passive.EntityWolf
(global),96,MushroomCow,net.minecraft.entity.passive.EntityMooshroom
(global),97,SnowMan,net.minecraft.entity.monster.EntitySnowman
(global),98,Ozelot,net.minecraft.entity.passive.EntityOcelot
(global),99,VillagerGolem,net.minecraft.entity.monster.EntityIronGolem
(global),100,EntityHorse,net.minecraft.entity.passive.EntityHorse
(global),120,Villager,net.minecraft.entity.passive.EntityVillager
(global),200,EnderCrystal,chylex.hee.entity.block.EntityBlockEnderCrystal
(global),256,GalacticraftCore.EvolvedSpider,micdoodle8.mods.galacticraft.core.entities.EntityEvolvedSpider
(global),257,GalacticraftCore.EvolvedZombie,micdoodle8.mods.galacticraft.core.entities.EntityEvolvedZombie
(global),258,GalacticraftCore.EvolvedCreeper,micdoodle8.mods.galacticraft.core.entities.EntityEvolvedCreeper
(global),259,GalacticraftCore.EvolvedSkeleton,micdoodle8.mods.galacticraft.core.entities.EntityEvolvedSkeleton
(global),260,GalacticraftCore.EvolvedSkeletonBoss,micdoodle8.mods.galacticraft.core.entities.EntitySkeletonBoss
(global),261,GalacticraftCore.AlienVillager,micdoodle8.mods.galacticraft.core.entities.EntityAlienVillager
(global),262,GalacticraftMars.Sludgeling,micdoodle8.mods.galacticraft.planets.mars.entities.EntitySludgeling
(global),263,GalacticraftMars.Slimeling,micdoodle8.mods.galacticraft.planets.mars.entities.EntitySlimeling
(global),264,GalacticraftMars.CreeperBoss,micdoodle8.mods.galacticraft.planets.mars.entities.EntityCreeperBoss
(global),265,GalacticraftCore.EvolvedBossBlaze,galaxyspace.core.entity.boss.EntityBlazeBoss
(global),266,GalacticraftCore.EvolvedBossGhast,galaxyspace.core.entity.boss.EntityGhastBoss
(global),267,GalacticraftCore.EvolvedCrystalBoss,galaxyspace.core.entity.boss.EntityCrystalBoss
(global),268,GalacticraftCore.EvolvedBossSlime,galaxyspace.core.entity.boss.EntitySlimeBoss
(global),269,GalacticraftCore.EvolvedBossWolf,galaxyspace.core.entity.boss.EntityWolfBoss
(global),270,GalacticraftCore.EvolvedFireCreeper,galaxyspace.core.entity.mob.EntityEvolvedFireCreeper
(global),271,GalacticraftCore.EvolvedFireSkeleton,galaxyspace.core.entity.mob.EntityEvolvedFireSkeleton
(global),272,GalacticraftCore.EvolvedFireSpider,galaxyspace.core.entity.mob.EntityEvolvedFireSpider
(global),273,GalacticraftCore.EvolvedEnderman,galaxyspace.core.entity.mob.EntityEvolvedEnderman
(global),274,GalacticraftCore.Tentacles,galaxyspace.core.entity.mob.EntityTentacles
(global),275,GalacticraftCore.EvolvedColdBlaze,galaxyspace.core.entity.mob.EntityEvolvedColdBlaze
(global),276,GalacticraftCore.Crawler,galaxyspace.core.entity.mob.EntityCrawler
(global),277,GalacticraftCore.EvolvedBlaze,galaxyspace.core.entity.mob.EntityEvolvedBlaze
(global),301,BiomesOPlenty.JungleSpider,biomesoplenty.common.entities.EntityJungleSpider
(global),302,BiomesOPlenty.Rosester,biomesoplenty.common.entities.EntityRosester
(global),303,BiomesOPlenty.Glob,biomesoplenty.common.entities.EntityGlob
(global),304,BiomesOPlenty.Phantom,biomesoplenty.common.entities.EntityPhantom
(global),305,BiomesOPlenty.Wasp,biomesoplenty.common.entities.EntityWasp
(global),306,BiomesOPlenty.Bird,biomesoplenty.common.entities.EntityBird
(global),307,BiomesOPlenty.Pixie,biomesoplenty.common.entities.EntityPixie
(global),308,EMT.archer,emt.entity.EntityArcher
(global),500,etfuturum.rabbit,ganymedes01.etfuturum.entities.EntityRabbit
(global),501,etfuturum.endermite,ganymedes01.etfuturum.entities.EntityEndermite
(global),502,etfuturum.husk,ganymedes01.etfuturum.entities.EntityHusk
(global),503,etfuturum.stray,ganymedes01.etfuturum.entities.EntityStray
(global),504,etfuturum.villager_zombie,ganymedes01.etfuturum.entities.EntityZombieVillager
(global),505,etfuturum.shulker,ganymedes01.etfuturum.entities.EntityShulker
(global),506,etfuturum.fox,ganymedes01.etfuturum.entities.EntityFox
(global),6396,witchery.demon,com.emoniph.witchery.entity.EntityDemon
(global),6397,witchery.mandrake,com.emoniph.witchery.entity.EntityMandrake
(global),6398,witchery.treefyd,com.emoniph.witchery.entity.EntityTreefyd
(global),6399,witchery.hornedHuntsman,com.emoniph.witchery.entity.EntityHornedHuntsman
(global),6400,witchery.ent,com.emoniph.witchery.entity.EntityEnt
(global),6401,witchery.owl,com.emoniph.witchery.entity.EntityOwl
(global),6402,witchery.toad,com.emoniph.witchery.entity.EntityToad
(global),6403,witchery.babayaga,com.emoniph.witchery.entity.EntityBabaYaga
(global),6404,witchery.covenwitch,com.emoniph.witchery.entity.EntityCovenWitch
(global),6405,witchery.nightmare,com.emoniph.witchery.entity.EntityNightmare
(global),6406,witchery.spectre,com.emoniph.witchery.entity.EntitySpectre
(global),6407,witchery.poltergeist,com.emoniph.witchery.entity.EntityPoltergeist
(global),6408,witchery.banshee,com.emoniph.witchery.entity.EntityBanshee
(global),6409,witchery.spirit,com.emoniph.witchery.entity.EntitySpirit
(global),6410,witchery.death,com.emoniph.witchery.entity.EntityDeath
(global),6411,witchery.witchhunter,com.emoniph.witchery.entity.EntityWitchHunter
(global),6412,witchery.lordoftorment,com.emoniph.witchery.entity.EntityLordOfTorment
(global),6413,witchery.imp,com.emoniph.witchery.entity.EntityImp
