UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
botany.flowers.species.cornflower,矢车菊,botany.flowers.species.dandelion,botany.flowers.species.tulip,false,10.0,
botany.flowers.species.pansy,三色堇,botany.flowers.species.tulip,botany.flowers.species.viola,false,5.0,
botany.flowers.species.iris,鸢尾,botany.flowers.species.orchid,botany.flowers.species.viola,false,10.0,
botany.flowers.species.lavender,薰衣草,botany.flowers.species.allium,botany.flowers.species.viola,false,10.0,
botany.flowers.species.viola,堇菜,botany.flowers.species.orchid,botany.flowers.species.poppy,false,15.0,
botany.flowers.species.daffodil,水仙,botany.flowers.species.dandelion,botany.flowers.species.poppy,false,10.0,
botany.flowers.species.aster,紫菀,botany.flowers.species.daisy,botany.flowers.species.tulip,false,10.0,
botany.flowers.species.marigold,万寿菊,botany.flowers.species.daisy,botany.flowers.species.dandelion,false,10.0,
botany.flowers.species.hydrangea,八仙花,botany.flowers.species.peony,botany.flowers.species.bluet,false,10.0,
botany.flowers.species.foxglove,毛地黄,botany.flowers.species.lilac,botany.flowers.species.zinnia,false,5.0,
botany.flowers.species.dahlia,大丽花,botany.flowers.species.daisy,botany.flowers.species.allium,false,15.0,
botany.flowers.species.chrysanthemum,菊花,botany.flowers.species.geranium,botany.flowers.species.rose,false,10.0,
botany.flowers.species.carnation,康乃馨,botany.flowers.species.dianthus,botany.flowers.species.rose,false,5.0,
botany.flowers.species.zinnia,鱼尾菊,botany.flowers.species.dahlia,botany.flowers.species.marigold,false,5.0,
botany.flowers.species.primrose,报春花,botany.flowers.species.chrysanthemum,botany.flowers.species.auricula,false,5.0,
botany.flowers.species.azalea,杜鹃花,botany.flowers.species.orchid,botany.flowers.species.geranium,false,5.0,
botany.flowers.species.geranium,老鹳草,botany.flowers.species.tulip,botany.flowers.species.orchid,false,15.0,
botany.flowers.species.lily,百合,botany.flowers.species.tulip,botany.flowers.species.chrysanthemum,false,5.0,
botany.flowers.species.yarrow,蓍草,botany.flowers.species.dandelion,botany.flowers.species.orchid,false,10.0,
botany.flowers.species.petunia,矮牵牛,botany.flowers.species.tulip,botany.flowers.species.dahlia,false,5.0,
botany.flowers.species.agapanthus,百子莲,botany.flowers.species.allium,botany.flowers.species.geranium,false,5.0,
botany.flowers.species.fuchsia,灯笼海棠,botany.flowers.species.foxglove,botany.flowers.species.dahlia,false,5.0,
botany.flowers.species.dianthus,石竹,botany.flowers.species.tulip,botany.flowers.species.poppy,false,15.0,
botany.flowers.species.forget,勿忘我,botany.flowers.species.orchid,botany.flowers.species.bluet,false,10.0,
botany.flowers.species.anemone,银莲花,botany.flowers.species.aquilegia,botany.flowers.species.rose,false,5.0,
botany.flowers.species.aquilegia,耧斗菜,botany.flowers.species.iris,botany.flowers.species.poppy,false,5.0,
botany.flowers.species.edelweiss,火绒草,botany.flowers.species.peony,botany.flowers.species.bluet,false,5.0,
botany.flowers.species.scabious,轮峰菊,botany.flowers.species.allium,botany.flowers.species.cornflower,false,5.0,
botany.flowers.species.coneflower,金花菊,botany.flowers.species.tulip,botany.flowers.species.cornflower,false,5.0,
botany.flowers.species.gaillardia,天人菊,botany.flowers.species.dandelion,botany.flowers.species.marigold,false,5.0,
botany.flowers.species.auricula,耳状报春花,botany.flowers.species.poppy,botany.flowers.species.geranium,false,10.0,
botany.flowers.species.camellia,山茶,botany.flowers.species.hydrangea,botany.flowers.species.rose,false,5.0,
botany.flowers.species.goldenrod,一枝黄花,botany.flowers.species.lilac,botany.flowers.species.marigold,false,10.0,
botany.flowers.species.althea,蜀葵,botany.flowers.species.hydrangea,botany.flowers.species.iris,false,5.0,
botany.flowers.species.penstemon,钓钟柳,botany.flowers.species.peony,botany.flowers.species.lilac,false,5.0,
botany.flowers.species.delphinium,飞燕草,botany.flowers.species.lilac,botany.flowers.species.bluet,false,5.0,
botany.flowers.species.hollyhock,蜀葵,botany.flowers.species.delphinium,botany.flowers.species.lavender,false,5.0,
