ID,Name,Localized Name,Temperature,Luminosity,Density,Viscosity,Placeable,Block ID,Block Class
1,water,水,300,0,1000,1000,true,minecraft:water,cofh.asmhooks.block.BlockWater
2,lava,岩浆,1300,15,3000,6000,true,minecraft:lava,net.minecraft.block.BlockStaticLiquid
3,ic2uumatter,UU物质,300,0,3000,3000,true,IC2:fluidUuMatter,ic2.core.block.BlockIC2Fluid
4,ic2constructionfoam,建筑泡沫,300,0,10000,50000,true,IC2:fluidConstructionFoam,ic2.core.block.BlockIC2Fluid
5,ic2coolant,冷却液,300,0,1000,3000,true,IC2:fluidCoolant,ic2.core.block.BlockIC2Fluid
6,ic2hotcoolant,热冷却液,1200,0,1000,3000,true,IC2:fluidHotCoolant,ic2.core.block.BlockIC2Fluid
7,ic2pahoehoelava,熔岩岩浆,1200,10,50000,250000,true,IC2:fluidPahoehoeLava,ic2.core.block.BlockIC2Fluid
8,ic2biomass,生物质,300,0,1000,3000,true,IC2:fluidBiomass,ic2.core.block.BlockIC2Fluid
9,ic2biogas,沼气,300,0,1000,3000,true,IC2:fluidBiogas,ic2.core.block.BlockIC2Fluid
10,ic2distilledwater,蒸馏水,300,0,1000,1000,true,IC2:fluidDistilledWater,ic2.core.block.BlockIC2Fluid
11,ic2superheatedsteam,过热蒸汽,600,0,-3000,100,true,IC2:fluidSuperheatedSteam,ic2.core.block.BlockIC2Fluid
12,ic2steam,蒸汽,420,0,-800,300,true,IC2:fluidSteam,ic2.core.block.BlockIC2Fluid
13,ic2hotwater,Heated Water,350,0,1000,1000,true,IC2:fluidHotWater,ic2.core.block.BlockIC2Fluid
14,fluxgoo,咒波黏浆,300,7,8,6000,true,Thaumcraft:blockFluxGoo,thaumcraft.common.blocks.BlockFluxGoo
15,fluidpure,净化之水,300,10,1000,1000,true,Thaumcraft:blockFluidPure,thaumcraft.common.blocks.BlockFluidPure
16,fluiddeath,死亡之水,300,8,1000,1500,true,Thaumcraft:blockFluidDeath,thaumcraft.common.blocks.BlockFluidDeath
17,slime.blue,液态蓝史莱姆,300,0,1000,1000,true,TConstruct:liquid.slime,tconstruct.blocks.slime.SlimeFluid
18,iron.molten,熔融铁,1300,12,3000,6000,true,TConstruct:fluid.molten.iron,tconstruct.smeltery.blocks.TConstructFluid
19,gold.molten,熔融金,1300,12,3000,6000,true,TConstruct:fluid.molten.gold,tconstruct.smeltery.blocks.TConstructFluid
20,copper.molten,熔融铜,1300,12,3000,6000,true,TConstruct:fluid.molten.copper,tconstruct.smeltery.blocks.TConstructFluid
21,tin.molten,熔融锡,1300,12,3000,6000,true,TConstruct:fluid.molten.tin,tconstruct.smeltery.blocks.TConstructFluid
22,aluminum.molten,熔融铝,1300,12,3000,6000,true,TConstruct:fluid.molten.aluminum,tconstruct.smeltery.blocks.TConstructFluid
23,cobalt.molten,熔融钴,1300,12,3000,6000,true,TConstruct:fluid.molten.cobalt,tconstruct.smeltery.blocks.TConstructFluid
24,ardite.molten,熔融阿迪特,1300,12,3000,6000,true,TConstruct:fluid.molten.ardite,tconstruct.smeltery.blocks.TConstructFluid
25,bronze.molten,熔融青铜,1300,12,3000,6000,true,TConstruct:fluid.molten.bronze,tconstruct.smeltery.blocks.TConstructFluid
26,aluminumbrass.molten,熔融铝黄铜,1300,12,3000,6000,true,TConstruct:fluid.molten.alubrass,tconstruct.smeltery.blocks.TConstructFluid
27,manyullyn.molten,熔融玛玉灵,1300,12,3000,6000,true,TConstruct:fluid.molten.manyullyn,tconstruct.smeltery.blocks.TConstructFluid
28,alumite.molten,熔融锌曜钢,1300,12,3000,6000,true,TConstruct:fluid.molten.alumite,tconstruct.smeltery.blocks.TConstructFluid
29,obsidian.molten,熔融黑曜石,1300,12,3000,6000,true,TConstruct:fluid.molten.obsidian,tconstruct.smeltery.blocks.TConstructFluid
30,steel.molten,熔融钢,1300,12,3000,6000,true,TConstruct:fluid.molten.steel,tconstruct.smeltery.blocks.TConstructFluid
31,glass.molten,熔融玻璃,1300,12,3000,6000,true,TConstruct:fluid.molten.glass,tconstruct.smeltery.blocks.TConstructFluid
32,stone.seared,熔融石头,1300,12,3000,6000,true,TConstruct:molten.stone,tconstruct.smeltery.blocks.TConstructFluid
33,emerald.liquid,熔融绿宝石,1300,12,3000,6000,true,TConstruct:molten.emerald,tconstruct.smeltery.blocks.TConstructFluid
34,quartz.molten,熔融下界石英,1300,12,3000,6000,true,TConstruct:molten.quartz,tconstruct.smeltery.blocks.TConstructFluid
35,nickel.molten,熔融镍,1300,12,3000,6000,true,TConstruct:fluid.molten.nickel,tconstruct.smeltery.blocks.TConstructFluid
36,lead.molten,熔融铅,1300,12,3000,6000,true,TConstruct:fluid.molten.lead,tconstruct.smeltery.blocks.TConstructFluid
37,silver.molten,熔融银,1300,12,3000,6000,true,TConstruct:fluid.molten.silver,tconstruct.smeltery.blocks.TConstructFluid
38,platinum.molten,熔融铂金,1300,12,3000,6000,true,TConstruct:fluid.molten.shiny,tconstruct.smeltery.blocks.TConstructFluid
39,invar.molten,熔融殷钢,1300,12,3000,6000,true,TConstruct:fluid.molten.invar,tconstruct.smeltery.blocks.TConstructFluid
40,electrum.molten,熔融琥珀金,1300,12,3000,6000,true,TConstruct:fluid.molten.electrum,tconstruct.smeltery.blocks.TConstructFluid
41,ender,熔融末影珍珠,295,0,3000,6000,true,TConstruct:fluid.ender,tconstruct.smeltery.blocks.TConstructFluid
42,lumium.molten,熔融流明,1300,12,3000,6000,true,TConstruct:fluid.molten.lumium,tconstruct.smeltery.blocks.TConstructFluid
43,signalum.molten,熔融信素,1300,12,3000,6000,true,TConstruct:fluid.molten.signalum,tconstruct.smeltery.blocks.TConstructFluid
44,mithril.molten,熔融蕴魔金属,1300,12,3000,6000,true,TConstruct:fluid.molten.mithril,tconstruct.smeltery.blocks.TConstructFluid
45,enderium.molten,熔融末影,1300,12,3000,6000,true,TConstruct:fluid.molten.enderium,tconstruct.smeltery.blocks.TConstructFluid
46,blood,血,1300,0,3000,6000,true,TConstruct:liquid.blood,tconstruct.smeltery.blocks.BloodBlock
47,glue,凝胶,200,0,6000,6000,true,TConstruct:liquid.glue,tconstruct.smeltery.blocks.GlueFluid
48,pigiron.molten,生铁,1300,0,3000,6000,true,TConstruct:fluid.molten.pigiron,tconstruct.smeltery.blocks.PigIronMoltenBlock
49,milk,牛奶,290,0,1200,1200,false,null,null
50,melonjuice,西瓜汁,300,0,1000,1000,false,null,null
51,mushroomstew,蘑菇煲,300,0,1200,1200,false,null,null
52,oil,石油,295,0,800,10000,true,BuildCraft|Energy:blockOil,buildcraft.core.lib.block.BlockBuildCraftFluid
53,fuel,燃油,295,0,1000,1000,true,BuildCraft|Energy:blockFuel,buildcraft.core.lib.block.BlockBuildCraftFluid
54,redplasma,红等离子体,300,30,10000,10000,true,BuildCraft|Energy:blockRedPlasma,buildcraft.core.lib.block.BlockBuildCraftFluid
55,poison,毒液,300,0,1000,1000,true,BiomesOPlenty:poison,biomesoplenty.common.fluids.blocks.BlockPoisonFluid
56,hell_blood,血水,300,0,1000,1000,true,BiomesOPlenty:hell_blood,biomesoplenty.common.fluids.blocks.BlockBloodFluid
57,honey,蜂蜜,300,0,1000,1500,true,BiomesOPlenty:honey,biomesoplenty.common.fluids.blocks.BlockHoneyFluid
58,endergoo,末影黏浆,220,0,1500,1500,true,HardcoreEnderExpansion:ender_goo,chylex.hee.block.BlockEnderGoo
59,bioethanol,乙醇,295,0,790,1000,true,Forestry:fluid.bioethanol,forestry.core.fluids.BlockForestryFluid
60,biomass,生物质,295,0,400,6560,true,Forestry:fluid.biomass,forestry.core.fluids.BlockForestryFluid
61,glass,液态玻璃,1200,0,2400,10000,true,Forestry:fluid.glass,forestry.core.fluids.BlockForestryFluid
62,for.honey,蜂蜜,295,0,1420,73600,true,Forestry:fluid.honey,forestry.core.fluids.BlockForestryFluid
63,ice,碎冰,265,0,920,1000,true,Forestry:fluid.ice,forestry.core.fluids.BlockForestryFluid
64,juice,果汁,295,0,1000,1000,true,Forestry:fluid.juice,forestry.core.fluids.BlockForestryFluid
65,seedoil,种子油,295,0,885,5000,true,Forestry:fluid.seedoil,forestry.core.fluids.BlockForestryFluid
66,short.mead,蜂蜜酒,295,0,1000,1200,true,Forestry:fluid.short.mead,forestry.core.fluids.BlockForestryFluid
67,mead,蜂蜜陈酿,295,0,1000,1200,true,Forestry:fluid.mead,forestry.core.fluids.BlockForestryFluid
68,creosote,杂酚油,295,0,800,1500,true,Railcraft:fluid.creosote,mods.railcraft.common.fluids.BlockRailcraftFluid
69,steam,蒸汽,375,0,-1000,500,true,Railcraft:fluid.steam,mods.railcraft.common.fluids.BlockRailcraftFluidFinite
70,nutrient_distillation,营养精华液,300,0,1500,3000,true,EnderIO:blockNutrient_distillation,crazypants.enderio.fluid.BlockFluidEio
71,hootch,烈酒,300,0,900,1000,true,EnderIO:blockHootch,crazypants.enderio.fluid.BlockFluidEio
72,rocket_fuel,火箭燃料,295,0,900,1000,true,EnderIO:blockRocket_fuel,crazypants.enderio.fluid.BlockFluidEio
73,fire_water,火焰水,2600,0,900,1000,true,EnderIO:blockFire_water,crazypants.enderio.fluid.BlockFluidEio
74,liquid_sunshine,液态阳光,300,0,200,400,true,EnderIO:blockLiquid_sunshine,crazypants.enderio.fluid.BlockFluidEio
75,cloud_seed,云之精华,300,0,500,800,true,EnderIO:blockCloud_seed,crazypants.enderio.fluid.BlockFluidEio
76,cloud_seed_concentrated,浓缩云之精华,300,0,1000,1200,true,EnderIO:blockCloud_seed_concentrated,crazypants.enderio.fluid.BlockFluidEio
77,ender_distillation,深渊露水,175,0,200,1000,true,EnderIO:blockEnder_distillation,crazypants.enderio.fluid.BlockFluidEio
78,vapor_of_levity,轻盈之气,5,0,-10,100,true,EnderIO:blockVapor_of_levity,crazypants.enderio.fluid.BlockFluidEio
79,gelatinmixture,明胶混合物,300,0,1000,1000,false,null,null
