Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
"1,1dimethylhydrazine",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30654,偏二甲肼单元,gregtech:gt.metaitem.01
"1,3dimethylbenzene",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30763,间二甲苯单元,gregtech:gt.metaitem.01
"1,4-butanediol",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11301,"1,4-丁二醇单元",bartworks:gt.bwMetaGeneratedcell
"1,4dimethylbenzene",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30762,对二甲苯单元,gregtech:gt.metaitem.01
2-ethyl-1-hexanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10059,2-乙基己醇单元,bartworks:gt.bwMetaGeneratedcell
2nitrochlorobenzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30592,2-硝基氯苯单元,gregtech:gt.metaitem.01
"3,3diaminobenzidine",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30597,"3,3'-二氨基联苯胺单元",gregtech:gt.metaitem.01
"3,3dichlorobenzidine",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30596,"3,3'-二氯联苯胺单元",gregtech:gt.metaitem.01
4nitroaniline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30780,4-硝基苯胺单元,gregtech:gt.metaitem.01
a.l.s,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12307,A.L.S单元,bartworks:gt.bwMetaGeneratedcell
acetaldehyde,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30786,乙醛单元,gregtech:gt.metaitem.01
aceticacid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30670,乙酸单元,gregtech:gt.metaitem.01
acetone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30672,丙酮单元,gregtech:gt.metaitem.01
acetylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30781,乙炔单元,gregtech:gt.metaitem.01
acid,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@64,酸液玻璃罐,BinnieCore:containerCylinder
acid,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@12,酸魔力胶囊,MagicBees:capsule.magic
acid,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.containerGlass@64,酸液瓶,BinnieCore:containerGlass
acid,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@12,酸虚空胶囊,MagicBees:capsule.void
acid,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.containerBucket@64,酸液桶,BinnieCore:containerBucket
acid,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.containerRefractory@64,酸液耐火胶囊,BinnieCore:containerRefractory
acid,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.containerCapsule@64,酸液胶囊,BinnieCore:containerCapsule
acid,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.containerCan@64,酸液胶囊,BinnieCore:containerCan
acid naquadah emulsion,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10036,酸性硅岩乳液单元,bartworks:gt.bwMetaGeneratedcell
acidic iridium solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@75,酸性铱溶液单元,bartworks:gt.bwMetaGeneratedcell
acidic osmium solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@72,酸性锇溶液单元,bartworks:gt.bwMetaGeneratedcell
activatednetherite,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30133,活性下界合金单元,gregtech:gt.metaitem.01
activatedwastewater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30187,活性废液单元,gregtech:gt.metaitem.01
