ID,Name,Version,Custom Container,Disableable,Dependencies
mcp,Minecraft Coder Pack,9.05,true,YES,[]
FML,Forge Mod Loader,7.10.99.99,true,NEVER,[]
Forge,Minecraft Forge,10.13.4.1614,true,NEVER,[]
appliedenergistics2-core,Applied Energistics 2 Core,rv3-beta-977-GTNH,true,NEVER,[]
chunkapicore,ChunkAPI Core,0.8.3,true,NEVER,[]
CodeChickenCore,CodeChicken Core,1.4.15,true,NEVER,[]
defaultserverlist,DefaultServerList,1.7.3,true,NEVER,[]
endlessids_biome,EndlessIDs Biome Module,1.7.3,true,NEVER,[]
endlessids_blockitem,EndlessIDs BlockItem Module,1.7.3,true,NEVER,[]
endlessids_datawatcher,EndlessIDs DataWatcher Module,1.7.3,true,NEVER,[]
endlessids_enchantment,EndlessIDs Enchantment Module,1.7.3,true,NEVER,[]
endlessids_potion,EndlessIDs Potion Module,1.7.3,true,NEVER,[]
GTNHLib Core,GTNHLib Core,0.11.9,true,NEVER,[]
NotEnoughItems,NotEnoughItems,2.8.101-GTNH,true,NEVER,"[CodeChickenCore@[1.4.12,), gtnhlib@[0.9.6,)]"
OpenComputers|Core,OpenComputers (Core),1.12.44-GTNH,true,NEVER,[]
MobiusCore,MobiusCore,1.4.8-mapless,true,NEVER,[]
PlayerAPI,Player API,1.5.0,true,NEVER,[]
ThaumicTinkerer-preloader,Thaumic Tinkerer Core,0.1,true,NEVER,[]
OpenModsCore,OpenModsCore,0.10.14,true,NEVER,[]
<CoFH ASM>,CoFH ASM,000,true,NEVER,[]
txloader,TX Loader,1.8.11,true,NEVER,[]
unimixins,UniMixins,0.3.1,false,DEPENDENCIES,[]
unimixins-mixin,UniMixins: Mixin (UniMix),0.3.1,false,RESTART,[]
unimixins-compat,UniMixins: Compatibility,0.3.1,false,RESTART,[]
mixingasm,UniMixins: Mixingasm,0.3,false,RESTART,[]
spongemixins,UniMixins: SpongeMixins,2.0.1,false,DEPENDENCIES,[]
mixinbooterlegacy,UniMixins: MixinBooterLegacy,1.2.1,false,RESTART,[]
gtnhmixins,UniMixins: GTNHMixins,2.2.0,false,DEPENDENCIES,[]
mixinextras,UniMixins: MixinExtras,0.3.1,false,RESTART,[]
IC2,IndustrialCraft 2,2.2.828-experimental,false,DEPENDENCIES,"[Forge@[10.13.0.1200,)]"
AdvancedSolarPanel,Advanced Solar Panels,1.7.10-3.5.1,false,DEPENDENCIES,"[IC2, gregtech_addon, AppliedEnergistics]"
battlegear2,Mine & Blade Battlegear 2,1.6.8-backhand,false,RESTART,[]
CoFHCore,CoFH Core,1.7.10R3.1.4,false,DEPENDENCIES,"[Forge@[10.13.4.1448,10.14)]"
Baubles,Baubles,2.2.21-GTNH,false,DEPENDENCIES,[]
ForgeMultipart,Forge Multipart,1.7.7,false,DEPENDENCIES,[]
Thaumcraft,Thaumcraft,4.2.3.5,false,DEPENDENCIES,"[Forge@[10.13.2,), Baubles@[1.0.1.10,)]"
BuildCraft|Core,BuildCraft,7.1.60,false,DEPENDENCIES,"[Forge@[10.13.2.1236,)]"
ExtraUtilities,Extra Utilities,1.2.12,false,RESTART,"[Forge@[10.13.2.1291,), ForgeMultipart@[1.2.0.336,), Baubles, ThermalFoundation, EE3, Thaumcraft]"
Mantle,Mantle,0.5.2,false,DEPENDENCIES,"[Forge@[10.13,)]"
Waila,Waila,1.19.30,false,DEPENDENCIES,"[NotEnoughItems@[1.0.4.0,)]"
TConstruct,Tinkers' Construct,1.14.91-GTNH,false,DEPENDENCIES,"[Forge@[10.13.3.1384,11.14), Mantle@[0.3.2,1.7.10),[1.7.10-0.3.2,), MineFactoryReloaded@[1.7.10R2.8.0RC7,), ThermalExpansion@[1.7.10R4.0.0RC2,), ThermalFoundation@[1.7.10R1.0.0RC3,), armourersWorkshop@[1.7.10-0.28.0,), CoFHAPI|energy, CoFHCore, battlegear2, ZeldaItemAPI, DynamicSkillsAPI, NotEnoughItems, Waila]"
adventurebackpack,Adventure Backpack,1.4.21-GTNH,false,RESTART,"[CodeChickenCore@[1.0.7.47,), TConstruct@[1.14.4,)]"
aeinfinitycell,AE2 Infinity Cell (merged into AE2 QoL),1.0.4-ae2qol,false,RESTART,[]
gtnhlib,GTNH Lib,0.11.9,false,DEPENDENCIES,[]
appliedenergistics2,Applied Energistics 2,rv3-beta-977-GTNH,false,DEPENDENCIES,"[appliedenergistics2-core, Forge@[10.13.4.1614,), gtnhlib@[0.9.5,)]"
guidenh,GuideNH,1.3.5,false,RESTART,[]
ae2_qof,AE2 QoL,3.18.0,false,RESTART,"[appliedenergistics2, guidenh]"
thaumicenergistics,Thaumic Energistics,1.7.53-GTNH,false,RESTART,"[appliedenergistics2@[rv3-beta-817,), Thaumcraft@[4.2.3.5,), Waila]"
ae2wct,AE2 Wireless Crafting Terminal,1.12.16,false,RESTART,"[Forge@[10.13.4.1614,), appliedenergistics2@[rv3-beta-754,), NotEnoughItems]"
ae2fc,AE2 Fluid Crafting,1.5.88-gtnh,false,RESTART,"[appliedenergistics2@[rv3-beta-238,), waila, thaumicenergistics, ae2wct]"
backhand,Backhand,1.8.10,false,DEPENDENCIES,"[gtnhlib@[0.6.34,)]"
ae_wireless_nexus,Applied Energistics: Wireless Nexus,1.0.1,false,RESTART,"[appliedenergistics2, backhand]"
AFSU,AFSU Mod,1.3.2-GTNH,false,RESTART,[IC2]
akashictome,Akashic Tome,1.2.7,false,RESTART,[NotEnoughItems]
alchgrate,Alchemical Grate,1.3.2-GTNH,false,RESTART,"[Forge@[10.13.4.1448,), Thaumcraft@[4.2.3.5,)]"
