id,stackName,metaID
0,咖啡,32000
1,甜咖啡,32001
2,拿铁,32002
3,甜拿铁,32003
4,美味拿铁,32004
5,黑巧克力奶,32005
6,巧克力牛奶,32006
7,茶,32007
8,甜茶,32008
9,冰红茶,32009
10,胶凝甲苯,32010
100,紫色饮料,32100
101,葡萄汁,32101
102,葡萄酒,32102
103,醋,32103
104,土豆汁,32104
105,伏特加,32105
106,列宁柠檬汁,32106
107,矿泉水,32107
108,盐水,32108
109,甘蔗水,32109
110,朗姆酒,32110
111,海盗之酿,32111
112,啤酒花汁,32112
113,黑啤,32113
114,龙血,32114
115,小麦汁,32115
116,苏格兰威士忌,32116
117,格伦·麦肯纳,32117
118,小麦啤酒花汁,32118
119,啤酒,32119
120,辣酱,32120
121,红辣酱,32121
122,恶魔辣酱,32122
123,恐惧辣酱,32123
124,祖传配方秘制而成的恐惧辣酱,32124
125,苹果汁,32125
126,苹果酒,32126
127,金苹果汁,32127
128,金苹果酒,32128
129,青春苹果汁,32129
130,附魔金苹果之酿,32130
131,柠檬汁,32131
132,意大利柠檬甜酒,32132
133,柠檬水,32133
134,波普甜酒,32134
135,约翰逊的炸弹柠檬汁,32135
136,牛奶,32136
137,圣水,32137
200,土豆串,32200
201,烤土豆串,32201
202,土豆条,32202
203,薯条,32203
204,薯条,32204
205,生土豆片,32205
206,薯片,32206
207,辣薯片,32207
208,袋装薯片,32208
209,袋装辣薯片,32209
210,海之霸肉块,32210
211,海之霸肉串,32211
212,甜面团,32212
213,巧克力面团,32213
214,曲奇形的面团,32214
220,切开的小圆面包,32220
221,蔬菜汉堡,32221
222,奶酪汉堡,32222
223,汉堡包,32223
224,海之堡,32224
230,切开的面包,32230
231,蔬菜三明治,32231
232,奶酪三明治,32232
233,培根三明治,32233
234,牛排三明治,32234
240,切开的法棍,32240
241,大蔬菜三明治,32241
242,大奶酪三明治,32242
243,大培根三明治,32243
244,大牛排三明治,32244
250,生蔬菜披萨,32250
251,生奶酪披萨,32251
252,生肉末披萨,32252
260,蔬菜披萨,32260
261,奶酪披萨,32261
262,肉末披萨,32262
270,超级燃料黏合剂,32270
271,魔法超级燃料黏合剂,32271
410,靛蓝染料,32410
414,黑色染料,32414
415,红色染料,32415
416,绿色染料,32416
417,棕色染料,32417
418,蓝色染料,32418
419,紫色染料,32419
420,青色染料,32420
421,淡灰色染料,32421
422,灰色染料,32422
423,粉色染料,32423
424,黄绿色染料,32424
425,黄色染料,32425
426,淡蓝色染料,32426
427,品红色染料,32427
428,橙色染料,32428
429,白色染料,32429
470,橡木木板覆盖板,32470
471,云杉木木板覆盖板,32471
472,白桦木木板覆盖板,32472
473,丛林木木板覆盖板,32473
474,金合欢木木板覆盖板,32474
475,深色橡木木板覆盖板,32475
476,落叶松木板覆盖板,32476
477,柚木木板覆盖板,32477
478,刺槐木木板覆盖板,32478
479,酸橙木木板覆盖板,32479
480,栗树木木板覆盖板,32480
481,崖豆木木板覆盖板,32481
482,猴面包树木板覆盖板,32482
483,红杉木木板覆盖板,32483
484,木棉木木板覆盖板,32484
485,乌檀木木板覆盖板,32485
486,桃花心木木板覆盖板,32486
487,巴尔杉木木板覆盖板,32487
488,柳木木板覆盖板,32488
489,核桃木木板覆盖板,32489
490,绿樟木木板覆盖板,32490
491,樱桃木木板覆盖板,32491
492,高槿木木板覆盖板,32492
493,杨树木木板覆盖板,32493
494,棕榈木木板覆盖板,32494
495,番木瓜木木板覆盖板,32495
496,松木木板覆盖板,32496
497,李子木木板覆盖板,32497
498,枫木木板覆盖板,32498
499,柠檬木木板覆盖板,32499
558,奶酪,32558
559,面团,32559
560,擀平的面团,32560
561,面团,32561
562,面团,32562
563,面团,32563
564,小圆面包,32564
565,法棍,32565
566,面包切片,32566
567,小圆面包切片,32567
568,法棍切片,32568
569,蛋糕底,32569
570,烤蛋糕底,32570
571,柠檬片,32571
572,番茄片,32572
573,洋葱片,32573
574,黄瓜片,32574
576,奶酪片,32576
577,进阶红石信号发射器,32577
578,进阶红石信号发射器（内）,32578
579,进阶红石信号接收器,32579
580,进阶红石信号接收器（内）,32580
581,无线流体探测覆盖板,32581
582,无线物品探测覆盖板,32582
583,无线维护提示覆盖板,32583
584,无线设备活跃探测覆盖板,32584
585,金刚杵核心,32585
586,磁控管,32586
587,樱桃木木板覆盖板,32587
588,随机冰淇淋,32588
589,酸冰淇淋,32589
590,香蕉冰淇淋,32590
591,香蕉船冰淇淋,32591
592,苯冰淇淋,32592
593,蓝莓爆珠星门冰淇淋,32593
594,蓝莓冰淇淋,32594
595,Bou淇淋,32595
596,鸿蒙之碗冰淇淋,32596
597,布朗尼冰淇淋,32597
598,黄油碧根果冰淇淋,32598
599,奶油硬糖冰淇淋,32599
600,焦糖冰淇淋,32600
601,樱桃芭菲冰淇淋,32601
602,巧克力香草冰淇淋,32602
603,碎巧克力冰淇淋,32603
604,巧克力冰淇淋,32604
605,巧克力冰淇淋三明治,32605
606,巧克力冰棍,32606
607,巧克力核桃软糖冰淇淋,32607
608,咖啡冰淇淋,32608
609,曲奇面团冰淇淋,32609
610,奶油曲奇冰淇淋,32610
611,棉花糖冰淇淋,32611
612,双重冰棍,32612
613,电力高炉冰淇淋,32613
614,工程师冰淇淋,32614
615,法式香草冰淇淋,32615
616,水果冰棍,32616
617,葡萄物质操纵者冰淇淋,32617
618,熔岩巧克力冰淇淋,32618
619,冰淇淋三明治,32619
620,纯甜筒冰淇淋,32620
621,柠檬水冰淇淋,32621
622,磁流体约束恒星物质冰淇淋,32622
623,芒果冰淇淋,32623
624,肉冰淇淋,32624
625,巧克力薄荷冰淇淋,32625
626,那不勒斯冰淇淋,32626
627,无味冰淇淋,32627
628,桃子冰淇淋,32628
629,花生酱冰淇淋,32629
630,开心果冰淇淋,32630
631,放射性冰淇淋,32631
632,彩虹星辰雪葩,32632
633,树莓雪葩,32633
634,海盐焦糖冰淇淋,32634
635,意大利面冰淇淋,32635
636,彩针糖冰淇淋,32636
637,草莓冰淇淋,32637
638,黄油太妃糖冰淇淋,32638
639,独角兽冰淇淋,32639
640,香草冰淇淋,32640
641,混凝土冰淇淋,32641
642,橡胶冰淇淋,32642
643,柴油冰淇淋,32643
644,刨冰甜筒,32644
645,冰沙,32645
646,菠萝雪葩,32646
647,橙子冰淇淋,32647
648,果冻冰淇淋,32648
649,抹茶蛇冰淇淋,32649
650,碎冰冰,32650
651,蜂蜜碗冰淇淋,32651
652,光明会甜筒冰淇淋,32652
653,任务书彩纸冰淇淋,32653
654,绝望深渊冰淇淋,32654
655,梦想大师冰淇淋,32655
