id,stackName,className
1,青铜外壳,MTEBasicHullBronze
2,砖砌青铜外壳,MTEBasicHullBronzeBricks
3,钢外壳,MTEBasicHullSteel
4,砖砌铸铁外壳,MTEBasicHullSteelBricks
10,ULV机器外壳,MTEBasicHull
11,LV机器外壳,MTEBasicHull
12,MV机器外壳,MTEBasicHull
13,HV机器外壳,MTEBasicHull
14,EV机器外壳,MTEBasicHull
15,IV机器外壳,MTEBasicHull
16,LuV机器外壳,MTEBasicHull
17,ZPM机器外壳,MTEBasicHull
18,UV机器外壳,MTEBasicHull
19,UHV机器外壳,MTEBasicHull
20,ULV变压器,MTETransformer
21,LV变压器,MTETransformer
22,MV变压器,MTETransformer
23,HV变压器,MTETransformer
24,EV变压器,MTETransformer
25,IV变压器,MTETransformer
26,LuV变压器,MTETransformer
27,ZPM变压器,MTETransformer
28,UV变压器,MTETransformer
30,ULV动力仓,MTEHatchDynamo
31,LV动力仓,MTEHatchDynamo
32,MV动力仓,MTEHatchDynamo
33,HV动力仓,MTEHatchDynamo
34,EV动力仓,MTEHatchDynamo
35,IV动力仓,MTEHatchDynamo
36,LuV动力仓,MTEHatchDynamo
37,ZPM动力仓,MTEHatchDynamo
38,UV动力仓,MTEHatchDynamo
39,UHV动力仓,MTEHatchDynamo
40,ULV能源仓,MTEHatchEnergy
41,LV能源仓,MTEHatchEnergy
42,MV能源仓,MTEHatchEnergy
43,HV能源仓,MTEHatchEnergy
44,EV能源仓,MTEHatchEnergy
45,IV能源仓,MTEHatchEnergy
46,LuV能源仓,MTEHatchEnergy
47,ZPM能源仓,MTEHatchEnergy
48,UV能源仓,MTEHatchEnergy
49,UHV能源仓,MTEHatchEnergy
50,输入仓(ULV),MTEHatchInput
51,输入仓(LV),MTEHatchInput
52,输入仓(MV),MTEHatchInput
53,输入仓(HV),MTEHatchInput
54,输入仓(EV),MTEHatchInput
55,输入仓(IV),MTEHatchInput
56,输入仓(LuV),MTEHatchInput
57,输入仓(ZPM),MTEHatchInput
58,输入仓(UV),MTEHatchInput
59,输入仓(UHV),MTEHatchInput
60,输出仓(ULV),MTEHatchOutput
61,输出仓(LV),MTEHatchOutput
62,输出仓(MV),MTEHatchOutput
63,输出仓(HV),MTEHatchOutput
64,输出仓(EV),MTEHatchOutput
65,输出仓(IV),MTEHatchOutput
66,输出仓(LuV),MTEHatchOutput
67,输出仓(ZPM),MTEHatchOutput
68,输出仓(UV),MTEHatchOutput
69,输出仓(UHV),MTEHatchOutput
70,输入总线(ULV),MTEHatchInputBus
71,输入总线(LV),MTEHatchInputBus
72,输入总线(MV),MTEHatchInputBus
73,输入总线(HV),MTEHatchInputBus
74,输入总线(EV),MTEHatchInputBus
75,输入总线(IV),MTEHatchInputBus
