Ore Name,ItemStack,Item ID,Display Name,Wildcard
AcaciaPlanks,1xtile.for.planks@2,Forestry:planks,沙漠刺槐木板,false
AcaciaPlanks,1xtile.for.planksFireproof@2,Forestry:planksFireproof,抗燃沙漠刺槐木板,false
AcaciaSlab,1xtile.for.slabs@2,Forestry:slabs,沙漠刺槐台阶,false
AcaciaSlab,1xtile.for.slabsFireproof@2,Forestry:slabsFireproof,抗燃沙漠刺槐台阶,false
BalsaPlanks,1xtile.for.planks@11,Forestry:planks,巴尔杉树木板,false
BalsaPlanks,1xtile.for.planksFireproof@11,Forestry:planksFireproof,抗燃巴尔杉树木板,false
BalsaSlab,1xtile.for.slabs@11,Forestry:slabs,巴尔杉树台阶,false
BalsaSlab,1xtile.for.slabsFireproof@11,Forestry:slabsFireproof,抗燃巴尔杉树台阶,false
BaobabPlanks,1xtile.for.planks@6,Forestry:planks,猴面包树木板,false
BaobabPlanks,1xtile.for.planksFireproof@6,Forestry:planksFireproof,抗燃猴面包树木板,false
BaobabSlab,1xtile.for.slabs@6,Forestry:slabs,猴面包树台阶,false
BaobabSlab,1xtile.for.slabsFireproof@6,Forestry:slabsFireproof,抗燃猴面包树台阶,false
BigBackpacks,1xitem.backpack@200,Backpack:backpack,大背包,false
BigBackpacks,1xitem.backpack@201,Backpack:backpack,黑色大背包,false
BigBackpacks,1xitem.backpack@202,Backpack:backpack,红色大背包,false
BigBackpacks,1xitem.backpack@203,Backpack:backpack,绿色大背包,false
BigBackpacks,1xitem.backpack@204,Backpack:backpack,棕色大背包,false
BigBackpacks,1xitem.backpack@205,Backpack:backpack,蓝色大背包,false
BigBackpacks,1xitem.backpack@206,Backpack:backpack,紫色大背包,false
BigBackpacks,1xitem.backpack@207,Backpack:backpack,青色大背包,false
BigBackpacks,1xitem.backpack@208,Backpack:backpack,淡灰色大背包,false
BigBackpacks,1xitem.backpack@209,Backpack:backpack,灰色大背包,false
BigBackpacks,1xitem.backpack@210,Backpack:backpack,粉红色大背包,false
BigBackpacks,1xitem.backpack@211,Backpack:backpack,黄绿色大背包,false
BigBackpacks,1xitem.backpack@212,Backpack:backpack,黄色大背包,false
BigBackpacks,1xitem.backpack@213,Backpack:backpack,淡蓝色大背包,false
BigBackpacks,1xitem.backpack@214,Backpack:backpack,品红色大背包,false
BigBackpacks,1xitem.backpack@215,Backpack:backpack,橙色大背包,false
BigBackpacks,1xitem.backpack@216,Backpack:backpack,白色大背包,false
CherryPlanks,1xtile.for.planks@15,Forestry:planks,樱桃木板,false
CherryPlanks,1xtile.for.planksFireproof@15,Forestry:planksFireproof,抗燃樱桃木板,false
CherrySlab,1xtile.for.slabs@15,Forestry:slabs,樱桃台阶,false
CherrySlab,1xtile.for.slabsFireproof@15,Forestry:slabsFireproof,抗燃樱桃台阶,false
ChestnutPlanks,1xtile.for.planks@4,Forestry:planks,栗树木板,false
ChestnutPlanks,1xtile.for.planksFireproof@4,Forestry:planksFireproof,抗燃栗树木板,false
ChestnutSlab,1xtile.for.slabs@4,Forestry:slabs,栗树台阶,false
ChestnutSlab,1xtile.for.slabsFireproof@4,Forestry:slabsFireproof,抗燃栗树台阶,false
CitrusPlanks,1xtile.for.planks@23,Forestry:planks,柑橘树木板,false
CitrusPlanks,1xtile.for.planksFireproof@23,Forestry:planksFireproof,抗燃柑橘树木板,false
CitrusSlab,1xtile.for.slabs@23,Forestry:slabs,柑橘树台阶,false
CitrusSlab,1xtile.for.slabsFireproof@23,Forestry:slabsFireproof,抗燃柑橘树台阶,false
CompressedAdamantite,1xitem.CompressedPlates@0,GalaxySpace:item.CompressedPlates,航天精金板,false
CompressedCobalt,1xitem.CompressedPlates@1,GalaxySpace:item.CompressedPlates,航天钴板,false
CompressedCobaltum,1xitem.CompressedPlates@1,GalaxySpace:item.CompressedPlates,航天钴板,false
CompressedDuralumin,1xitem.CompressedPlates@2,GalaxySpace:item.CompressedPlates,航天硬铝板,false
CompressedLead,1xitem.CompressedPlates@3,GalaxySpace:item.CompressedPlates,航天铅板,false
CompressedMagnesium,1xitem.CompressedPlates@4,GalaxySpace:item.CompressedPlates,航天镁板,false
CompressedMithril,1xitem.CompressedPlates@5,GalaxySpace:item.CompressedPlates,航天秘银板,false
CompressedNickel,1xitem.CompressedPlates@6,GalaxySpace:item.CompressedPlates,航天镍板,false
CompressedOriharukon,1xitem.CompressedPlates@7,GalaxySpace:item.CompressedPlates,航天奥利哈钢板,false
CompressedPlatinum,1xitem.CompressedPlates@8,GalaxySpace:item.CompressedPlates,航天铂板,false
CompressedTungsten,1xitem.CompressedPlates@9,GalaxySpace:item.CompressedPlates,航天钨板,false
EbonyPlanks,1xtile.for.planks@9,Forestry:planks,乌檀树木板,false
EbonyPlanks,1xtile.for.planksFireproof@9,Forestry:planksFireproof,抗燃乌檀树木板,false
EbonySlab,1xtile.for.slabs@9,Forestry:slabs,乌檀树台阶,false
EbonySlab,1xtile.for.slabsFireproof@9,Forestry:slabsFireproof,抗燃乌檀树台阶,false
GreenheartPlanks,1xtile.for.planks@14,Forestry:planks,绿樟树木板,false
GreenheartPlanks,1xtile.for.planksFireproof@14,Forestry:planksFireproof,抗燃绿樟树木板,false
GreenheartSlabs,1xtile.for.slabs@14,Forestry:slabs,绿樟树台阶,false
GreenheartSlabs,1xtile.for.slabsFireproof@14,Forestry:slabsFireproof,抗燃绿樟树台阶,false
KapokPlanks,1xtile.for.planks@8,Forestry:planks,木棉木板,false
KapokPlanks,1xtile.for.planksFireproof@8,Forestry:planksFireproof,抗燃木棉木板,false
KapokSlabs,1xtile.for.slabs@8,Forestry:slabs,木棉台阶,false
KapokSlabs,1xtile.for.slabsFireproof@8,Forestry:slabsFireproof,抗燃木棉台阶,false
LarchPlanks,1xtile.for.planks@0,Forestry:planks,落叶树木板,false
LarchPlanks,1xtile.for.planksFireproof@0,Forestry:planksFireproof,抗燃落叶树木板,false
LarchSlabs,1xtile.for.slabs@0,Forestry:slabs,落叶树台阶,false
LarchSlabs,1xtile.for.slabsFireproof@0,Forestry:slabsFireproof,抗燃落叶树台阶,false
LimePlanks,1xtile.for.planks@3,Forestry:planks,酸橙树木板,false
LimePlanks,1xtile.for.planksFireproof@3,Forestry:planksFireproof,抗燃酸橙树木板,false
LimeSlabs,1xtile.for.slabs@3,Forestry:slabs,酸橙树台阶,false
LimeSlabs,1xtile.for.slabsFireproof@3,Forestry:slabsFireproof,抗燃酸橙树台阶,false
MahoePlanks,1xtile.for.planks@16,Forestry:planks,高槿树木板,false
MahoePlanks,1xtile.for.planksFireproof@16,Forestry:planksFireproof,抗燃高槿树木板,false
MahoeSlabs,1xtile.for.slabs@16,Forestry:slabs,高槿树台阶,false
MahoeSlabs,1xtile.for.slabsFireproof@16,Forestry:slabsFireproof,抗燃高槿树台阶,false
MahoganyPlanks,1xtile.for.planks@10,Forestry:planks,桃心树木板,false
MahoganyPlanks,1xtile.for.planksFireproof@10,Forestry:planksFireproof,抗燃桃心树木板,false
MahoganySlabs,1xtile.for.slabs@10,Forestry:slabs,桃心树台阶,false
MahoganySlabs,1xtile.for.slabsFireproof@10,Forestry:slabsFireproof,抗燃桃心树台阶,false
MapplePlanks,1xtile.for.planks@22,Forestry:planks,枫树木板,false
MapplePlanks,1xtile.for.planksFireproof@22,Forestry:planksFireproof,抗燃枫树木板,false
MappleSlabs,1xtile.for.slabs@22,Forestry:slabs,枫树台阶,false
MappleSlabs,1xtile.for.slabsFireproof@22,Forestry:slabsFireproof,抗燃枫树台阶,false
MediumBackpacks,1xitem.backpack@100,Backpack:backpack,中背包,false
MediumBackpacks,1xitem.backpack@101,Backpack:backpack,黑色中背包,false
MediumBackpacks,1xitem.backpack@102,Backpack:backpack,红色中背包,false
MediumBackpacks,1xitem.backpack@103,Backpack:backpack,绿色中背包,false
MediumBackpacks,1xitem.backpack@104,Backpack:backpack,棕色中背包,false
MediumBackpacks,1xitem.backpack@105,Backpack:backpack,蓝色中背包,false
MediumBackpacks,1xitem.backpack@106,Backpack:backpack,紫色中背包,false
MediumBackpacks,1xitem.backpack@107,Backpack:backpack,青色中背包,false
MediumBackpacks,1xitem.backpack@108,Backpack:backpack,淡灰色中背包,false
MediumBackpacks,1xitem.backpack@109,Backpack:backpack,灰色中背包,false
MediumBackpacks,1xitem.backpack@110,Backpack:backpack,粉红色中背包,false
MediumBackpacks,1xitem.backpack@111,Backpack:backpack,黄绿色中背包,false
MediumBackpacks,1xitem.backpack@112,Backpack:backpack,黄色中背包,false
MediumBackpacks,1xitem.backpack@113,Backpack:backpack,淡蓝色中背包,false
MediumBackpacks,1xitem.backpack@114,Backpack:backpack,品红色中背包,false
MediumBackpacks,1xitem.backpack@115,Backpack:backpack,橙色中背包,false
MediumBackpacks,1xitem.backpack@116,Backpack:backpack,白色中背包,false
PalmPlanks,1xtile.for.planks@18,Forestry:planks,棕榈树木板,false
PalmPlanks,1xtile.for.planksFireproof@18,Forestry:planksFireproof,抗燃棕榈树木板,false
PalmSlabs,1xtile.for.slabs@18,Forestry:slabs,棕榈树台阶,false
PalmSlabs,1xtile.for.slabsFireproof@18,Forestry:slabsFireproof,抗燃棕榈树台阶,false
PapayaPlanks,1xtile.for.planks@19,Forestry:planks,木瓜木板,false
PapayaPlanks,1xtile.for.planksFireproof@19,Forestry:planksFireproof,抗燃木瓜木板,false
PapayaSlabs,1xtile.for.slabs@19,Forestry:slabs,木瓜台阶,false
PapayaSlabs,1xtile.for.slabsFireproof@19,Forestry:slabsFireproof,抗燃木瓜台阶,false
PinePlanks,1xtile.for.planks@20,Forestry:planks,松树木板,false
PinePlanks,1xtile.for.planksFireproof@20,Forestry:planksFireproof,抗燃松树木板,false
PineSlab,1xtile.for.slabs@20,Forestry:slabs,松树台阶,false
PineSlab,1xtile.for.slabsFireproof@20,Forestry:slabsFireproof,抗燃松树台阶,false
PlumPlanks,1xtile.for.planks@21,Forestry:planks,李子木板,false
PlumPlanks,1xtile.for.planksFireproof@21,Forestry:planksFireproof,抗燃李子木板,false
PlumSlab,1xtile.for.slabs@21,Forestry:slabs,李子台阶,false
PlumSlab,1xtile.for.slabsFireproof@21,Forestry:slabsFireproof,抗燃李子台阶,false
PoplarPlanks,1xtile.for.planks@22,Forestry:planks,枫树木板,false
PoplarPlanks,1xtile.for.planksFireproof@22,Forestry:planksFireproof,抗燃枫树木板,false
PoplarSlab,1xtile.for.slabs@22,Forestry:slabs,枫树台阶,false
PoplarSlab,1xtile.for.slabsFireproof@22,Forestry:slabsFireproof,抗燃枫树台阶,false
SequoiaPlanks,1xtile.for.planks@7,Forestry:planks,红杉树木板,false
SequoiaPlanks,1xtile.for.planksFireproof@7,Forestry:planksFireproof,抗燃红杉树木板,false
SequoiaSlab,1xtile.for.slabs@7,Forestry:slabs,红杉树台阶,false
SequoiaSlab,1xtile.for.slabsFireproof@7,Forestry:slabsFireproof,抗燃红杉树台阶,false
SingleUseCrowbarMold,1xgt.ggfab.d1@32,ggfab:gt.ggfab.d1,铸件（一次性撬棍）,false
SingleUseFileMold,1xgt.ggfab.d1@30,ggfab:gt.ggfab.d1,铸件（一次性锉）,false
SingleUseHardHammerMold,1xgt.ggfab.d1@34,ggfab:gt.ggfab.d1,铸件（一次性锻造锤）,false
SingleUseSawMold,1xgt.ggfab.d1@37,ggfab:gt.ggfab.d1,铸件（一次性锯子）,false
SingleUseScrewdriverMold,1xgt.ggfab.d1@36,ggfab:gt.ggfab.d1,铸件（一次性螺丝刀）,false
SingleUseSoftMalletMold,1xgt.ggfab.d1@35,ggfab:gt.ggfab.d1,铸件（一次性软锤）,false
SingleUseWireCutterMold,1xgt.ggfab.d1@33,ggfab:gt.ggfab.d1,铸件 (一次性剪线钳),false
SingleUseWrenchMold,1xgt.ggfab.d1@31,ggfab:gt.ggfab.d1,铸件（一次性扳手）,false
SmallBackpacks,1xitem.backpack@0,Backpack:backpack,小背包,false
SmallBackpacks,1xitem.backpack@1,Backpack:backpack,黑色小背包,false
SmallBackpacks,1xitem.backpack@2,Backpack:backpack,红色小背包,false
SmallBackpacks,1xitem.backpack@3,Backpack:backpack,绿色小背包,false
SmallBackpacks,1xitem.backpack@4,Backpack:backpack,棕色小背包,false
