Category,Name,Key,Parents,ParentsHidden,Siblings,PermWarp,StickyWarp,Tag,ItemTrigger,EntityTrigger,AspectTrigger,DisplayColumn,DisplayRow
BASICS,"扭曲,咒波,所有那些坏东西",WARP,,,WARPWARNING,0,0,<empty>,,,,0,2
BASICS,研究,RESEARCH,,,WARPWARNING,0,0,<empty>,,,,2,0
BASICS,附魔,ENCHANT,,,,0,0,<empty>,,,,-4,-2
BASICS,灵气和节点,NODES,,,@TMNODES,0,0,<empty>,,,,-2,0
BASICS,研究拷贝,RESEARCHDUPE,RESEARCHER2,,,0,0,12xSensus;12xCognitio;12xFabrico;9xLucrum;6xPerditio;3xPotentia,,,,4,5
BASICS,矿石,ORE,,,,0,0,<empty>,,,,-2,-2
BASICS,魔力源质,ASPECTS,,,,0,0,<empty>,,,,0,0
BASICS,知识碎片,KNOWFRAG,RESEARCH,,,0,0,<empty>,,,,3,-2
BASICS,研究精通,RESEARCHER2,RESEARCHER1,,,1,1,9xCognitio;9xSensus;6xOrdo;6xLux;3xPermutatio,,,,3,3
BASICS,血腥崇拜,CRIMSON,,,,2,1,<empty>,,,,0,4
BASICS,容器扫描,salisarcana:CHESTSCAN,DECONSTRUCTOR,,,0,0,10xOrdo;10xPerditio;10xPermutatio,,,,8,3
BASICS,缸中节点,NODEJAR,NODEPRESERVE,,,0,0,12xAuram;12xMotus;9xLucrum;6xPermutatio;3xVitreus,,,,-7,4
BASICS,研究专长,RESEARCHER1,RESEARCH,,,0,0,6xCognitio;6xSensus;6xOrdo;3xLux,,,,4,1
BASICS,节点催生,NODECATALYZATION,NODEJAR;NODETAPPER2,JARLABEL,,4,4,20xAuram;15xVacuos;12xLucrum;9xAlienis;6xCognitio;3xPraecantatio,,,,-5,4
BASICS,大师节点引流术,NODETAPPER2,NODETAPPER1,,,0,0,12xPermutatio;12xAuram;9xPraecantatio;6xMotus;3xPotentia,,,,-3,3
BASICS,解构工作台,DECONSTRUCTOR,RESEARCHER1,,,0,0,9xSensus;9xAuram;6xLucrum;3xFames,,,,6,2
BASICS,扭曲警报,WARPWARNING,,,,0,0,<empty>,,,,1,1
BASICS,进阶节点引流术,NODETAPPER1,NODES,,,0,0,9xPermutatio;9xAuram;6xPraecantatio;3xMotus,,,,-4,1
BASICS,魔导手册,THAUMONOMICON,RESEARCH,,,0,0,<empty>,,,,1,-2
BASICS,植物&树木,PLANTS,,,,0,0,<empty>,,,,-2,-4
BASICS,节点防护术,NODEPRESERVE,NODETAPPER1,,,0,0,9xPerditio;9xCognitio;6xFabrico;3xInstrumentum,,,,-6,2
BASICS,岩精,PECH,,,,0,0,<empty>,,,,-4,-4
THAUMATURGY,节点稳定器,NODESTABILIZER,NODEPRESERVE,,,0,0,9xAuram;9xPotentia;6xPraecantatio;3xOrdo,,,,-7,-4
THAUMATURGY,杖柄替换,salisarcana:REPLACEWANDCORE,ROD_greatwood,,,0,0,8xPraecantatio;4xPermutatio;4xInstrumentum;4xArbor,,,,-6,2
THAUMATURGY,复合充能核心,WANDPEDFOC,WANDPED,,,0,0,15xInstrumentum;15xAuram;12xPraecantatio;12xPotentia;9xPermutatio;6xCognitio;3xLucrum,,,,-10,-7
THAUMATURGY,五阶升级:嗜血魔蝠,VAMPBAT,FOCUSHELLBAT,FOCALMANIPULATION,,2,2,15xFames;15xPraecantatio;12xVictus;12xExanimis;9xCognitio;3xIra;6xAlienis,,,,4,-8
THAUMATURGY,白骨杖柄,ROD_bone,ROD_greatwood;INFUSION,,TB.ROD_bone,1,1,9xInstrumentum;9xPraecantatio;6xExanimis;6xPerditio;3xArbor,,,,-3,0
THAUMATURGY,基础法杖工艺,BASICTHAUMATURGY,,,,0,0,<empty>,,,,0,0
THAUMATURGY,法杖核心:采掘,FOCUSEXCAVATION,FOCUSFIRE,,,0,0,9xTerra;9xPraecantatio;6xPerditio;3xMotus,,,,0,-3
THAUMATURGY,工艺权杖,SCEPTRE,ROD_silverwood,,thaumicenergistics.Pseudo.SCEPTRE,0,0,12xInstrumentum;12xFabrico;9xArbor;6xPraecantatio;3xCognitio,,,,0,4
THAUMATURGY,杖端替换,salisarcana:REPLACEWANDCAPS,CAP_gold,,,0,0,8xPraecantatio;4xPermutatio;4xInstrumentum;4xMetallum,,,,4,2
THAUMATURGY,石英杖芯,ROD_quartz_staff,ROD_quartz,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xVitreus;6xOrdo;6xAer;3xTerra,,,,-4,6
THAUMATURGY,法杖核心:九狱,FOCUSHELLBAT,,FOCUSFIRE;INFUSION,,1,1,12xPraecantatio;9xIter;9xIgnis;6xBestia;3xMotus,,Thaumcraft.Firebat,Ignis,3,-7
THAUMATURGY,Vis充能中继器,VISCHARGERELAY,VISPOWER;WANDPED,ROD_greatwood,,0,0,12xPotentia;12xPraecantatio;9xMachina;9xAuram;6xIgnis;3xAer,,,,-7,-6
THAUMATURGY,寒霜杖柄,ROD_ice,ROD_greatwood;INFUSION,,TB.ROD_ice,0,0,9xInstrumentum;9xPraecantatio;6xAqua;6xGelum;3xArbor,,,,-7,4
