Name,Icon,Background
BASICS,thaumcraft:textures/items/thaumonomiconcheat.png,thaumcraft:textures/gui/gui_researchback.png
THAUMATURGY,thaumcraft:textures/misc/r_thaumaturgy.png,thaumcraft:textures/gui/gui_researchback.png
ALCHEMY,thaumcraft:textures/misc/r_crucible.png,thaumcraft:textures/gui/gui_researchback.png
ARTIFICE,thaumcraft:textures/misc/r_artifice.png,thaumcraft:textures/gui/gui_researchback.png
GOLEMANCY,thaumcraft:textures/misc/r_golemancy.png,thaumcraft:textures/gui/gui_researchback.png
ELDRITCH,thaumcraft:textures/misc/r_eldritch.png,thaumcraft:textures/gui/gui_researchbackeldritch.png
thaumicenergistics,thaumicenergistics:textures/research/tab.icon.png,thaumicenergistics:textures/research/Research.Background.png
NEWHORIZONS,dreamcraft:textures/thaumcraft/icon/icon_GTNH.png,dreamcraft:textures/thaumcraft/tab/tab_GTNH.png
AUTOMAGY,automagy:textures/gui/researchIcon.png,thaumcraft:textures/gui/gui_researchback.png
TT_CATEGORY,ttinkerer:textures/misc/r_enchanting.png,thaumcraft:textures/gui/gui_researchback.png
FORBIDDEN,forbidden:textures/misc/forbidden.png,forbidden:textures/misc/runecircle.png
MAGICBEES,magicbees:textures/items/beeInfusion.png,thaumcraft:textures/gui/gui_researchback.png
botanichorizons,botania:textures/items/grassSeeds0.png,botanichorizons:textures/tc_bg.png
EMT,emt:textures/misc/emt.png,emt:textures/misc/background.png
gadomancy,gadomancy:textures/items/category_icon.png,gadomancy:textures/gui/gui_researchback.png
TM,taintedmagic:textures/misc/IconThaumonomiconTab.png,thaumcraft:textures/gui/gui_researchback.png
THAUMICBASES,thaumicbases:textures/thaumonomicon/bases1.png,thaumicbases:textures/thaumonomicon/background.png
TX,thaumicexploration:textures/tabs/txTab.png,thaumcraft:textures/gui/gui_researchback.png
gtnl,sciencenotleisure:textures/items/test_item.png,thaumicinsurgence:textures/gui/eldritch_bg.png
RBRINGS,randomboubles:textures/misc/Thaum_Ring.png,thaumcraft:textures/gui/gui_researchback.png
THAUMICBOOTS,thaumicboots:textures/items/bootsCometMeteor.png,thaumicboots:textures/gui/research_bg1_b.png
ThaumicHorizons,thaumichorizons:textures/misc/vat.png,thaumcraft:textures/gui/gui_researchback.png
THAUMICINSURGENCE,thaumicinsurgence:textures/items/silverwood_filter.png,thaumicinsurgence:textures/gui/eldritch_bg.png
THAUMIC_MACHINA_CAT,thaumicmachina:textures/research/r_tab.png,thaumcraft:textures/gui/gui_researchback.png
WT_Category,warptheory:textures/items/r_itemCleanser.png,thaumcraft:textures/gui/gui_researchbackeldritch.png
WITCHGADG,witchinggadgets:textures/gui/research/WGIcon.png,witchinggadgets:textures/gui/research/WGResearchBack.png
BLOODMAGIC,dreamcraft:textures/thaumcraft/icon/icon_BloodMagic.png,dreamcraft:textures/thaumcraft/tab/tab_BloodMagic.png
WITCHERY,dreamcraft:textures/thaumcraft/icon/icon_Witchery.png,dreamcraft:textures/thaumcraft/tab/tab_Witchery.png
TST,gtnhcommunitymod:textures/items/MetaItem01/33.png,thaumcraft:textures/gui/gui_researchback.png
NHUTILITIES,nhutilities:textures/items/ResearchIcon.png,nhutilities:textures/gui/research_background.png
