ItemStack Display Name,Item Unlocalized Name,Item Numerical ID,Meta,Aspect List
扁桃树苗,tile.pamalmondSapling,2846,0,1xArbor;2xHerba
黑莓种子,item.blackberryseedItem,6893,0,1xHerba
树莓作物,tile.pamraspberryCrop,2920,0,3xMessis
氧气管道,tile.oxygenPipe,699,0,1xMetallum;1xGelum;1xVitreus
紫水晶母岩,tile.etfuturum.budding_amethyst,2533,0,4xVitreus;4xSensus;4xLucrum
装甲碎片,item.armorShards,6493,32767,1xMetallum
蓝色床,tile.etfuturum.blue_bed,2778,0,6xPannus;4xDesidia;3xFabrico
巫师炼药锅,tile.witchery:cauldron,2424,0,6xMetallum;4xVitreus;4xLucrum;4xPotentia;2xPraecantatio;4xAqua;8xFabrico
金粒,item.goldNugget,371,0,1xMetallum
橄榄树苗,tile.pamoliveSapling,2865,0,1xArbor;2xHerba
银树台阶,tile.blockCosmeticSlabWood.silverwood,429,1,1xArbor
宏伟之木台阶,tile.blockCosmeticSlabWood.greatwood,429,0,1xArbor
致密星体钛板,item.itemPlateDenseAstralTitanium,8406,0,2xMetallum;1xFabrico;1xAstrum
擒拿草,tile.witchery:grassper,2351,0,1xAqua;1xHerba;1xVacuos
芜菁甘蓝,item.rutabagaItem,6979,0,1xMessis;1xFames;1xTerra
海珀珍齿轮,item.itemGearHypogen,8437,0,2xMetallum;1xMotus;1xMachina;2xGloria
茶种子,item.teaseedItem,6937,0,1xHerba
洗净的虚恩矿石,item.crushedPurifiedRunite,8491,0,1xPerfodio
无花果树苗,tile.pamfigSapling,2858,0,1xArbor;2xHerba
tile.TFUnderBrick.32767.name,tile.TFUnderBrick.32767,1990,32767,2xTenebrae;2xTerra
碎裂地下砖,tile.TFUnderBrick.2,1990,2,3xTerra;3xIgnis;1xPerditio
青苔地下砖,tile.TFUnderBrick.1,1990,1,3xTerra;3xIgnis
地下砖,tile.TFUnderBrick.0,1990,0,3xTerra;3xIgnis
海卫八荧石,tile.ProteusGlowStone,3713,0,3xSensus;10xLux
末影碎片,item.kamiResource,11567,7,2xAlienis;1xPraecantatio;1xVitreus
下界碎片,item.kamiResource,11567,6,2xInfernus;1xPraecantatio;1xVitreus
灵宝粒,item.kamiResource,11567,3,1xMetallum
灵宝,item.kamiResource,11567,2,1xMetallum
深板岩圆石,tile.etfuturum.cobbled_deepslate,2527,32767,1xTerra;1xPerditio
深板岩圆石,tile.etfuturum.cobbled_deepslate,2527,0,1xTerra;1xPerditio
神秘板,item.EMT.thaumiumPlate,10166,5,1xFabrico;2xMetallum;1xPraecantatio
地狱皮木楼梯,tile.hellBarkStairs,950,0,1xArbor
深层绿宝石矿石,tile.etfuturum.deepslate_emerald_ore,2544,0,1xTerra;3xVitreus;5xLucrum
木桶,tile.etfuturum.barrel,2640,0,4xVacuos;6xArbor
棕色带釉陶瓦,tile.etfuturum.brown_glazed_terracotta,2517,0,3xTerra;1xIgnis;1xSensus
西瓜,tile.melon,103,32767,2xMessis;6xFames
盔甲架,item.etfuturum.armor_stand,6645,0,4xArbor;1xTutamen
盐,item.saltItem,6861,0,1xPerditio
