UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
forestry.treeLime,银橙,forestry.treeBirch,forestry.treeOak,false,15.0,
forestry.treeWalnut,核桃,forestry.treeLime,forestry.treeCherry,false,10.0,
forestry.treeChestnut,甜栗,forestry.treeWalnut,forestry.treeLime,false,10.0,
forestry.treeChestnut,甜栗,forestry.treeWalnut,forestry.treeCherry,false,10.0,
forestry.treeCherry,山丘樱,forestry.treeLime,forestry.treeOak,false,10.0,
forestry.treeCherry,山丘樱,forestry.treeLime,forestry.treeBirch,false,10.0,
forestry.treeLemon,柠檬,forestry.treeLime,forestry.treeCherry,false,5.0,
forestry.treePlum,李树,forestry.treeLemon,forestry.treeCherry,false,5.0,
forestry.treeMaple,糖枫,forestry.treeSpruce,forestry.treeLarch,false,5.0,
forestry.treeLarch,落叶松,forestry.treeSpruce,forestry.treeBirch,false,10.0,
forestry.treeLarch,落叶松,forestry.treeSpruce,forestry.treeOak,false,10.0,
forestry.treePine,西黄松,forestry.treeSpruce,forestry.treeLarch,false,10.0,
forestry.treeSequioa,海岸红杉,forestry.treeLarch,forestry.treePine,false,5.0,
forestry.treeGigant,巨杉,forestry.treeSequioa,forestry.treeBaobab,false,1.0,
forestry.treeTeak,柚树,forestry.treeDarkOak,forestry.treeJungle,false,10.0,
forestry.treeIpe,重蚁树,forestry.treeTeak,forestry.treeDarkOak,false,10.0,
forestry.treeKapok,木棉,forestry.treeJungle,forestry.treeTeak,false,10.0,
forestry.treeEbony,乌檀,forestry.treeDarkOak,forestry.treeKapok,false,10.0,
forestry.treeZebrawood,斑马木,forestry.treeEbony,forestry.treePoplar,false,5.0,
forestry.treeMahogony,黄桉,forestry.treeKapok,forestry.treeEbony,false,10.0,
forestry.treeAcacia,沙漠刺槐,forestry.treeTeak,forestry.treeBalsa,false,10.0,
forestry.treePadauk,紫檀树,forestry.treeAcaciaVanilla,forestry.treeJungle,false,10.0,
forestry.treeBalsa,巴尔杉木,forestry.treeTeak,forestry.treeAcaciaVanilla,false,10.0,
forestry.treeCocobolo,黄檀树,forestry.treeAcacia,forestry.treeDarkOak,false,10.0,
forestry.treeWenge,崖豆,forestry.treeCocobolo,forestry.treeBalsa,false,10.0,
forestry.treeBaobab,猴面包树,forestry.treeBalsa,forestry.treeWenge,false,10.0,
forestry.treeMahoe,高槿,forestry.treeBalsa,forestry.treeAcacia,false,5.0,
forestry.treeWillow,银柳,forestry.treeOak,forestry.treeBirch,false,10.0,该突变会在温度处于温暖和炙热之间时发生。|该突变仅在湿度为潮湿时发生。
forestry.treeWillow,银柳,forestry.treeOak,forestry.treeLime,false,10.0,该突变会在温度处于温暖和炙热之间时发生。|该突变仅在湿度为潮湿时发生。
forestry.treeWillow,银柳,forestry.treeLime,forestry.treeBirch,false,10.0,该突变会在温度处于温暖和炙热之间时发生。|该突变仅在湿度为潮湿时发生。
forestry.treeSipiri,绿心樟,forestry.treeKapok,forestry.treeMahogony,false,10.0,该突变会在温度处于温暖和炙热之间时发生。|该突变仅在湿度为潮湿时发生。
forestry.treePapaya,木瓜,forestry.treeJungle,forestry.treeCherry,false,5.0,
forestry.treeDate,枣椰,forestry.treeJungle,forestry.treePapaya,false,5.0,
forestry.treePoplar,白杨,forestry.treeBirch,forestry.treeWillow,false,5.0,
forestry.treePoplar,白杨,forestry.treeOak,forestry.treeWillow,false,5.0,
forestry.treePoplar,白杨,forestry.treeLime,forestry.treeWillow,false,5.0,
extratrees.species.keylime,墨西哥莱檬,forestry.treeCherry,forestry.treeLemon,false,10.0,
extratrees.species.fingerlime,指橙,extratrees.species.keylime,forestry.treeLemon,false,10.0,
extratrees.species.pomelo,柚子,forestry.treeCherry,forestry.treeLemon,false,10.0,
extratrees.species.manderin,橘子,extratrees.species.pomelo,forestry.treeCherry,false,10.0,
extratrees.species.citron,枸橼,extratrees.species.pomelo,forestry.treeLemon,false,10.0,
extratrees.species.kumquat,金橘,extratrees.species.manderin,forestry.treeCherry,false,10.0,
extratrees.species.orange,橙子,extratrees.species.pomelo,extratrees.species.manderin,false,10.0,
extratrees.species.buddhahand,佛手柑,extratrees.species.citron,extratrees.species.manderin,false,10.0,
extratrees.species.tangerine,瓯柑,extratrees.species.kumquat,extratrees.species.manderin,false,10.0,
extratrees.species.satsuma,温州蜜柑,extratrees.species.kumquat,extratrees.species.manderin,false,10.0,
extratrees.species.grapefruit,西柚,extratrees.species.pomelo,extratrees.species.orange,false,10.0,
extratrees.species.lime,酸橙,extratrees.species.pomelo,extratrees.species.keylime,false,10.0,
extratrees.species.orchardapple,苹果树,forestry.treeOak,forestry.treeCherry,false,10.0,
extratrees.species.sweetcrabapple,花冠海棠,extratrees.species.orchardapple,forestry.treeMaple,false,10.0,
extratrees.species.floweringcrabapple,开花海棠,extratrees.species.orchardapple,extratrees.species.sweetcrabapple,false,10.0,
extratrees.species.prairiecrabapple,草原海棠,extratrees.species.orchardapple,forestry.treeBirch,false,10.0,
extratrees.species.blackthorn,黑刺李,forestry.treePlum,extratrees.species.orchardapple,false,10.0,
extratrees.species.cherryplum,樱桃李,forestry.treePlum,forestry.treeCherry,false,10.0,
extratrees.species.peach,桃,forestry.treePlum,forestry.treeChestnut,false,10.0,
extratrees.species.nectarine,油桃,forestry.treePlum,extratrees.species.peach,false,10.0,
extratrees.species.apricot,杏子,forestry.treePlum,extratrees.species.peach,false,10.0,
extratrees.species.almond,扁桃,forestry.treePlum,forestry.treeWalnut,false,10.0,
extratrees.species.wildcherry,野樱桃,forestry.treeLime,forestry.treeCherry,false,10.0,
extratrees.species.sourcherry,欧洲酸樱桃,forestry.treeWillow,forestry.treeCherry,false,10.0,
extratrees.species.blackcherry,黑樱桃,forestry.treeEbony,forestry.treeCherry,false,10.0,
extratrees.species.banana,香蕉,forestry.treeBalsa,forestry.treeJungle,false,10.0,
extratrees.species.redbanana,红香蕉,extratrees.species.banana,forestry.treeKapok,false,10.0,
extratrees.species.plantain,大蕉,extratrees.species.banana,forestry.treeTeak,false,10.0,
extratrees.species.beech,山毛榉,forestry.treeBirch,forestry.treeOak,false,10.0,
extratrees.species.alder,桤木,forestry.treeBirch,extratrees.species.beech,false,10.0,
extratrees.species.aspen,杨树,extratrees.species.alder,extratrees.species.beech,false,10.0,
extratrees.species.rowan,欧洲花楸,extratrees.species.aspen,extratrees.species.alder,false,10.0,
extratrees.species.hazel,榛树,extratrees.species.beech,extratrees.species.aspen,false,10.0,
extratrees.species.hawthorn,单子山楂,extratrees.species.beech,extratrees.species.rowan,false,10.0,
extratrees.species.elder,接骨木,extratrees.species.alder,extratrees.species.aspen,false,10.0,
extratrees.species.holly,冬青,extratrees.species.alder,extratrees.species.rowan,false,10.0,
extratrees.species.sallow,黄花柳,forestry.treeWillow,extratrees.species.aspen,false,10.0,
extratrees.species.pecan,山核桃,extratrees.species.beech,forestry.treeBirch,false,10.0,
extratrees.species.copperbeech,紫山毛榉,extratrees.species.beech,forestry.treeSpruce,false,10.0,
extratrees.species.ash,梣树,forestry.treeLime,forestry.treeSpruce,false,10.0,
extratrees.species.whitebeam,白面子树,extratrees.species.ash,forestry.treeBirch,false,10.0,
extratrees.species.elm,榆树,extratrees.species.ash,forestry.treePine,false,10.0,
extratrees.species.hornbeam,鹅耳枥,extratrees.species.ash,forestry.treeLarch,false,10.0,
extratrees.species.sycamore,无花果,extratrees.species.ash,forestry.treeMaple,false,10.0,
extratrees.species.yew,红豆杉,forestry.treeLarch,forestry.treeSpruce,false,10.0,
extratrees.species.balsamfir,香脂冷杉,forestry.treeLarch,extratrees.species.alder,false,10.0,
